Year,Value,UNIT_MEASURE,SERIES
2000,9.08736,Američki dolar,DC_TOF_HLTHL
2001,5.4217,Američki dolar,DC_TOF_HLTHL
2002,5.51349,Američki dolar,DC_TOF_HLTHL
2003,9.48565,Američki dolar,DC_TOF_HLTHL
2004,4.58668,Američki dolar,DC_TOF_HLTHL
2005,4.99766,Američki dolar,DC_TOF_HLTHL
2006,17.4274,Američki dolar,DC_TOF_HLTHL
2007,10.9566,Američki dolar,DC_TOF_HLTHL
2008,7.03404,Američki dolar,DC_TOF_HLTHL
2009,2.58064,Američki dolar,DC_TOF_HLTHL
2010,7.81804,Američki dolar,DC_TOF_HLTHL
2011,6.13396,Američki dolar,DC_TOF_HLTHL
2012,6.7453,Američki dolar,DC_TOF_HLTHL
2013,5.6511,Američki dolar,DC_TOF_HLTHL
2014,11.1682,Američki dolar,DC_TOF_HLTHL
2015,5.29493,Američki dolar,DC_TOF_HLTHL
2016,38.0789,Američki dolar,DC_TOF_HLTHL
2017,36.2081,Američki dolar,DC_TOF_HLTHL
2018,13.1018,Američki dolar,DC_TOF_HLTHL
2019,8.61702,Američki dolar,DC_TOF_HLTHL
2020,14.6164,Američki dolar,DC_TOF_HLTHL
2010,7.76131,Američki dolar,DC_TOF_HLTHNT
2011,6.07939,Američki dolar,DC_TOF_HLTHNT
2012,6.6857,Američki dolar,DC_TOF_HLTHNT
2013,5.31045,Američki dolar,DC_TOF_HLTHNT
2014,10.4097,Američki dolar,DC_TOF_HLTHNT
2015,4.37475,Američki dolar,DC_TOF_HLTHNT
2016,36.3256,Američki dolar,DC_TOF_HLTHNT
2017,33.9038,Američki dolar,DC_TOF_HLTHNT
2018,9.99989,Američki dolar,DC_TOF_HLTHNT
2019,5.45266,Američki dolar,DC_TOF_HLTHNT
2020,10.1759,Američki dolar,DC_TOF_HLTHNT
