Year,Value,UNIT_MEASURE,SERIES
2018,16.21,Procenat,Osnovni kapital prema ukupnom iznosu izloženosti riziku (%)
2019,16.87,Procenat,Osnovni kapital prema ukupnom iznosu izloženosti riziku (%)
2020,17.52,Procenat,Osnovni kapital prema ukupnom iznosu izloženosti riziku (%)
2021,18.31,Procenat,Osnovni kapital prema ukupnom iznosu izloženosti riziku (%)
2022,19.38,Procenat,Osnovni kapital prema ukupnom iznosu izloženosti riziku (%)
2023,19.94,Procenat,Osnovni kapital prema ukupnom iznosu izloženosti riziku (%)
2018,17.66,Procenat,Regulatorni kapital prema ukupnom iznosu izloženosti riziku (%)
2019,18.31,Procenat,Regulatorni kapital prema ukupnom iznosu izloženosti riziku (%)
2020,19.33,Procenat,Regulatorni kapital prema ukupnom iznosu izloženosti riziku (%)
2021,19.15,Procenat,Regulatorni kapital prema ukupnom iznosu izloženosti riziku (%)
2022,20.24,Procenat,Regulatorni kapital prema ukupnom iznosu izloženosti riziku (%)
2023,20.96,Procenat,Regulatorni kapital prema ukupnom iznosu izloženosti riziku (%)
2018,12.44,Procenat,Kapital prema aktivi (%)
2019,12.58,Procenat,Kapital prema aktivi (%)
2020,12.39,Procenat,Kapital prema aktivi (%)
2021,11.69,Procenat,Kapital prema aktivi (%)
2022,12.46,Procenat,Kapital prema aktivi (%)
2023,13.02,Procenat,Kapital prema aktivi (%)
2018,7.17,Procenat,NPA prema ukupnoj aktivi (%)
2019,5.04,Procenat,NPA prema ukupnoj aktivi (%)
2020,3.62,Procenat,NPA prema ukupnoj aktivi (%)
2021,2.54,Procenat,NPA prema ukupnoj aktivi (%)
2022,2.37,Procenat,NPA prema ukupnoj aktivi (%)
2023,2.4,Procenat,NPA prema ukupnoj aktivi (%)
2018,19.1,Procenat,Nekvalitetna aktiva umanjena za rezervisanja prema osnovnom kapitalu (%)
2019,10.66,Procenat,Nekvalitetna aktiva umanjena za rezervisanja prema osnovnom kapitalu (%)
2020,6.18,Procenat,Nekvalitetna aktiva umanjena za rezervisanja prema osnovnom kapitalu (%)
2021,4.56,Procenat,Nekvalitetna aktiva umanjena za rezervisanja prema osnovnom kapitalu (%)
2022,5.61,Procenat,Nekvalitetna aktiva umanjena za rezervisanja prema osnovnom kapitalu (%)
2023,5.1,Procenat,Nekvalitetna aktiva umanjena za rezervisanja prema osnovnom kapitalu (%)
2018,18.34,Procenat,Nekvalitetni krediti umanjeni za rezervisanja prema osnovnom kapitalu (%)
2019,9.42,Procenat,Nekvalitetni krediti umanjeni za rezervisanja prema osnovnom kapitalu (%)
2020,5.99,Procenat,Nekvalitetni krediti umanjeni za rezervisanja prema osnovnom kapitalu (%)
2021,4.34,Procenat,Nekvalitetni krediti umanjeni za rezervisanja prema osnovnom kapitalu (%)
2022,5.42,Procenat,Nekvalitetni krediti umanjeni za rezervisanja prema osnovnom kapitalu (%)
2023,4.75,Procenat,Nekvalitetni krediti umanjeni za rezervisanja prema osnovnom kapitalu (%)
2018,9.54,Procenat,NPL prema ukupnim kreditima (%)
2019,6.95,Procenat,NPL prema ukupnim kreditima (%)
2020,5.23,Procenat,NPL prema ukupnim kreditima (%)
2021,3.98,Procenat,NPL prema ukupnim kreditima (%)
2022,3.69,Procenat,NPL prema ukupnim kreditima (%)
2023,3.64,Procenat,NPL prema ukupnim kreditima (%)
2018,1.13,Procenat,Povrat na aktivu (ROA) (%)
2019,1.35,Procenat,Povrat na aktivu (ROA) (%)
2020,0.69,Procenat,Povrat na aktivu (ROA) (%)
2021,1.38,Procenat,Povrat na aktivu (ROA) (%)
2022,1.62,Procenat,Povrat na aktivu (ROA) (%)
2023,2.15,Procenat,Povrat na aktivu (ROA) (%)
2018,8.79,Procenat,Povrat na dionički kapital (%)
2019,10.75,Procenat,Povrat na dionički kapital (%)
2020,5.5,Procenat,Povrat na dionički kapital (%)
2021,11.25,Procenat,Povrat na dionički kapital (%)
2022,13.12,Procenat,Povrat na dionički kapital (%)
2023,16.42,Procenat,Povrat na dionički kapital (%)
2018,60.65,Procenat,Neto kamatni prihod prema ukupnom prihodu (%)
2019,58.07,Procenat,Neto kamatni prihod prema ukupnom prihodu (%)
2020,58.87,Procenat,Neto kamatni prihod prema ukupnom prihodu (%)
2021,56.84,Procenat,Neto kamatni prihod prema ukupnom prihodu (%)
2022,55.98,Procenat,Neto kamatni prihod prema ukupnom prihodu (%)
2023,69.35,Procenat,Neto kamatni prihod prema ukupnom prihodu (%)
2018,78.24,Procenat,Nekamatni rashodi prema ukupnom prihodu (%)
2019,73.22,Procenat,Nekamatni rashodi prema ukupnom prihodu (%)
2020,85.81,Procenat,Nekamatni rashodi prema ukupnom prihodu (%)
2021,71.68,Procenat,Nekamatni rashodi prema ukupnom prihodu (%)
2022,69.35,Procenat,Nekamatni rashodi prema ukupnom prihodu (%)
2023,64.77,Procenat,Nekamatni rashodi prema ukupnom prihodu (%)
2018,26.7,Procenat,Likvidna sredstva prema ukupnoj aktivi (%)
2019,22.97,Procenat,Likvidna sredstva prema ukupnoj aktivi (%)
2020,22.87,Procenat,Likvidna sredstva prema ukupnoj aktivi (%)
2021,28.72,Procenat,Likvidna sredstva prema ukupnoj aktivi (%)
2022,27.37,Procenat,Likvidna sredstva prema ukupnoj aktivi (%)
2023,25.74,Procenat,Likvidna sredstva prema ukupnoj aktivi (%)
2018,39.96,Procenat,Likvidna sredstva prema kratkoročnim finansijskim obavezama (%)
2019,35.03,Procenat,Likvidna sredstva prema kratkoročnim finansijskim obavezama (%)
2020,33.75,Procenat,Likvidna sredstva prema kratkoročnim finansijskim obavezama (%)
2021,40.73,Procenat,Likvidna sredstva prema kratkoročnim finansijskim obavezama (%)
2022,38.71,Procenat,Likvidna sredstva prema kratkoročnim finansijskim obavezama (%)
2023,38.67,Procenat,Likvidna sredstva prema kratkoročnim finansijskim obavezama (%)
2018,105.98,Procenat,Depoziti prema kreditima umanjenim za međubankarske kredite (%)
2019,103.1,Procenat,Depoziti prema kreditima umanjenim za međubankarske kredite (%)
