Year,Value,UNIT_MEASURE,SERIES
2004,199752.0,Broj,Udio stanovništva koje živi ispod nacionalne granice siromaštva
2007,182389.0,Broj,Udio stanovništva koje živi ispod nacionalne granice siromaštva
2011,152909.0,Broj,Udio stanovništva koje živi ispod nacionalne granice siromaštva
2015,126043.0,Broj,Udio stanovništva koje živi ispod nacionalne granice siromaštva
2004,15.8,Procenat,Udio stanovništva koje živi ispod nacionalne granice siromaštva
2007,15.6,Procenat,Udio stanovništva koje živi ispod nacionalne granice siromaštva
2011,14.4,Procenat,Udio stanovništva koje živi ispod nacionalne granice siromaštva
2015,12.8,Procenat,Udio stanovništva koje živi ispod nacionalne granice siromaštva
2004,63973.0,Broj,Udio domaćinstava koja žive ispod nacionalne linije siromaštva
2007,64708.0,Broj,Udio domaćinstava koja žive ispod nacionalne linije siromaštva
2011,53234.0,Broj,Udio domaćinstava koja žive ispod nacionalne linije siromaštva
2015,49805.0,Broj,Udio domaćinstava koja žive ispod nacionalne linije siromaštva
2004,16.1,Procenat,Udio domaćinstava koja žive ispod nacionalne linije siromaštva
2007,17.3,Procenat,Udio domaćinstava koja žive ispod nacionalne linije siromaštva
2011,14.8,Procenat,Udio domaćinstava koja žive ispod nacionalne linije siromaštva
2015,13.9,Procenat,Udio domaćinstava koja žive ispod nacionalne linije siromaštva
