Year,Value,UNIT_MEASURE,SERIES
2009,3.0,Broj,Kopneni ekosistemi
2010,3.0,Broj,Kopneni ekosistemi
2011,4.0,Broj,Kopneni ekosistemi
2012,8.0,Broj,Kopneni ekosistemi
2013,12.0,Broj,Kopneni ekosistemi
2014,12.0,Broj,Kopneni ekosistemi
2015,16.0,Broj,Kopneni ekosistemi
2016,18.0,Broj,Kopneni ekosistemi
2017,19.0,Broj,Kopneni ekosistemi
2018,21.0,Broj,Kopneni ekosistemi
2019,26.0,Broj,Kopneni ekosistemi
2020,27.0,Broj,Kopneni ekosistemi
2021,31.0,Broj,Kopneni ekosistemi
2009,20005.33,Površina u hektarima,Kopneni ekosistemi
2010,20005.33,Površina u hektarima,Kopneni ekosistemi
2011,20032.34,Površina u hektarima,Kopneni ekosistemi
2012,20367.49,Površina u hektarima,Kopneni ekosistemi
2013,20734.13,Površina u hektarima,Kopneni ekosistemi
2014,20734.13,Površina u hektarima,Kopneni ekosistemi
2015,21593.92,Površina u hektarima,Kopneni ekosistemi
2016,21657.03,Površina u hektarima,Kopneni ekosistemi
2017,27972.35,Površina u hektarima,Kopneni ekosistemi
2018,28306.07,Površina u hektarima,Kopneni ekosistemi
2019,32106.1,Površina u hektarima,Kopneni ekosistemi
2020,48822.63,Površina u hektarima,Kopneni ekosistemi
2021,53533.58,Površina u hektarima,Kopneni ekosistemi
2018,2.0,Broj,Slatkovodni ekosistemi
2019,3.0,Broj,Slatkovodni ekosistemi
2020,3.0,Broj,Slatkovodni ekosistemi
2021,4.0,Broj,Slatkovodni ekosistemi
2018,3695.05,Površina u hektarima,Slatkovodni ekosistemi
2019,3800.39,Površina u hektarima,Slatkovodni ekosistemi
2020,3800.39,Površina u hektarima,Slatkovodni ekosistemi
2021,4121.08,Površina u hektarima,Slatkovodni ekosistemi
