Year,Value,UNIT_MEASURE,SERIES
2009,0.0,Na 100 000 živorođenih,Stopa smrtnosti majki
2010,9.8,Na 100 000 živorođenih,Stopa smrtnosti majki
2011,10.5,Na 100 000 živorođenih,Stopa smrtnosti majki
2012,0.0,Na 100 000 živorođenih,Stopa smrtnosti majki
2013,0.0,Na 100 000 živorođenih,Stopa smrtnosti majki
2014,0.0,Na 100 000 živorođenih,Stopa smrtnosti majki
2015,10.7,Na 100 000 živorođenih,Stopa smrtnosti majki
2016,10.6,Na 100 000 živorođenih,Stopa smrtnosti majki
2017,0.0,Na 100 000 živorođenih,Stopa smrtnosti majki
2018,10.5,Na 100 000 živorođenih,Stopa smrtnosti majki
2019,0.0,Na 100 000 živorođenih,Stopa smrtnosti majki
2020,32.7,Na 100 000 živorođenih,Stopa smrtnosti majki
2021,0.0,Na 100 000 živorođenih,Stopa smrtnosti majki
2022,11.0,Na 100 000 živorođenih,Stopa smrtnosti majki
2023,0.0,Na 100 000 živorođenih,Stopa smrtnosti majki
