Year,SERIES,UNIT_MEASURE,Степен урбанизације,Value
2011,EG_ACS_ELECHH,Проценат,Укупно,99.9
2011,EG_ACS_ELECHH,Проценат,Урбано,99.9
2011,EG_ACS_ELECHH,Проценат,Остало,99.9
2015,EG_ACS_ELECHH,Проценат,Укупно,99.5
2015,EG_ACS_ELECHH,Проценат,Урбано,99.7
2015,EG_ACS_ELECHH,Проценат,Остало,99.4
