Year,SERIES,UNIT_MEASURE,Value
2009,Копнени екосистеми,Број,3.0
2010,Копнени екосистеми,Број,3.0
2011,Копнени екосистеми,Број,4.0
2012,Копнени екосистеми,Број,8.0
2013,Копнени екосистеми,Број,12.0
2014,Копнени екосистеми,Број,12.0
2015,Копнени екосистеми,Број,16.0
2016,Копнени екосистеми,Број,18.0
2017,Копнени екосистеми,Број,19.0
2018,Копнени екосистеми,Број,21.0
2019,Копнени екосистеми,Број,26.0
2020,Копнени екосистеми,Број,27.0
2021,Копнени екосистеми,Број,31.0
2009,Копнени екосистеми,Површина у хектарима,20005.33
2010,Копнени екосистеми,Површина у хектарима,20005.33
2011,Копнени екосистеми,Површина у хектарима,20032.34
2012,Копнени екосистеми,Површина у хектарима,20367.49
2013,Копнени екосистеми,Површина у хектарима,20734.13
2014,Копнени екосистеми,Површина у хектарима,20734.13
2015,Копнени екосистеми,Површина у хектарима,21593.92
2016,Копнени екосистеми,Површина у хектарима,21657.03
2017,Копнени екосистеми,Површина у хектарима,27972.35
2018,Копнени екосистеми,Површина у хектарима,28306.07
2019,Копнени екосистеми,Површина у хектарима,32106.1
2020,Копнени екосистеми,Површина у хектарима,48822.63
2021,Копнени екосистеми,Површина у хектарима,53533.58
2018,Слатководни екосистеми,Број,2.0
2019,Слатководни екосистеми,Број,3.0
2020,Слатководни екосистеми,Број,3.0
2021,Слатководни екосистеми,Број,4.0
2018,Слатководни екосистеми,Површина у хектарима,3695.05
2019,Слатководни екосистеми,Површина у хектарима,3800.39
2020,Слатководни екосистеми,Површина у хектарима,3800.39
2021,Слатководни екосистеми,Површина у хектарима,4121.08
