Year,SERIES,UNIT_MEASURE,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Value
2014,IT_USE_LTMN,Проценат,,,,,,38.0
2015,IT_USE_LTMN,Проценат,,,,,,43.4
2016,IT_USE_LTMN,Проценат,,,,,,42.8
2017,IT_USE_LTMN,Проценат,,,,,,64.9
2018,IT_USE_LTMN,Проценат,,,,,,71.2
2019,IT_USE_LTMN,Проценат,,,,,,72.1
2020,IT_USE_LTMN,Проценат,,,,,,72.8
2021,IT_USE_LTMN,Проценат,,,,,,80.3
