Year,UNIT_MEASURE,Тип,Value
a)2019 Q1,Хиљаде тона,Превезено тона робе,3340
b)2019 Q2,Хиљаде тона,Превезено тона робе,3686
c)2019 Q3,Хиљаде тона,Превезено тона робе,3345
d)2019 Q4,Хиљаде тона,Превезено тона робе,3322
e)2020 Q1,Хиљаде тона,Превезено тона робе,2864
f)2020 Q2,Хиљаде тона,Превезено тона робе,2710
g)2020 Q3,Хиљаде тона,Превезено тона робе,2801
h)2020 Q4,Хиљаде тона,Превезено тона робе,3136
