Year,SERIES,UNIT_MEASURE,Пол,Value
2017,Стопа учешћа одраслих у формалном и неформалном образовању и обуци,Проценат,Оба пола или без подјеле по полу,9.8
2017,Стопа учешћа одраслих у формалном и неформалном образовању и обуци,Проценат,Мушкарци,10.1
2017,Стопа учешћа одраслих у формалном и неформалном образовању и обуци,Проценат,Жене,9.6
