Year,SERIES,UNIT_MEASURE,Value
2011,Просjечни трошкови дознака за слање 200 УСД у земљу примаоца као пропорција дозначеног износа (%),Проценат,13.93
2015,Просjечни трошкови дознака за слање 200 УСД у земљу примаоца као пропорција дозначеног износа (%),Проценат,7.28
2017,Просjечни трошкови дознака за слање 200 УСД у земљу примаоца као пропорција дозначеног износа (%),Проценат,6.5
2018,Просjечни трошкови дознака за слање 200 УСД у земљу примаоца као пропорција дозначеног износа (%),Проценат,6.9
2019,Просjечни трошкови дознака за слање 200 УСД у земљу примаоца као пропорција дозначеног износа (%),Проценат,7.44
2020,Просjечни трошкови дознака за слање 200 УСД у земљу примаоца као пропорција дозначеног износа (%),Проценат,7.27
2021,Просjечни трошкови дознака за слање 200 УСД у земљу примаоца као пропорција дозначеног износа (%),Проценат,6.94
