Year,SERIES,UNIT_MEASURE,Value
2009,Планински екосистеми,Број,2.0
2010,Планински екосистеми,Број,2.0
2011,Планински екосистеми,Број,2.0
2012,Планински екосистеми,Број,3.0
2013,Планински екосистеми,Број,4.0
2014,Планински екосистеми,Број,4.0
2015,Планински екосистеми,Број,4.0
2016,Планински екосистеми,Број,4.0
2017,Планински екосистеми,Број,5.0
2018,Планински екосистеми,Број,6.0
2019,Планински екосистеми,Број,6.0
2020,Планински екосистеми,Број,7.0
2021,Планински екосистеми,Број,9.0
2009,Планински екосистеми,Површина у хектарима,19959.88
2010,Планински екосистеми,Површина у хектарима,19959.88
2011,Планински екосистеми,Површина у хектарима,19959.88
2012,Планински екосистеми,Површина у хектарима,20254.88
2013,Планински екосистеми,Површина у хектарима,20552.7
2014,Планински екосистеми,Површина у хектарима,20552.7
2015,Планински екосистеми,Површина у хектарима,20552.7
2016,Планински екосистеми,Површина у хектарима,20552.7
2017,Планински екосистеми,Површина у хектарима,26868.02
2018,Планински екосистеми,Површина у хектарима,27198.77
2019,Планински екосистеми,Површина у хектарима,27198.77
2020,Планински екосистеми,Површина у хектарима,43914.61
2021,Планински екосистеми,Површина у хектарима,48114.47
