Year,SERIES,UNIT_MEASURE,Value
2010,Укупно произведени комунални отпад,Тоне,392891.0
2011,Укупно произведени комунални отпад,Тоне,381185.0
2012,Укупно произведени комунални отпад,Тоне,376438.0
2013,Укупно произведени комунални отпад,Тоне,388767.0
2014,Укупно произведени комунални отпад,Тоне,
2015,Укупно произведени комунални отпад,Тоне,403352.0
2016,Укупно произведени комунални отпад,Тоне,425962.0
2017,Укупно произведени комунални отпад,Тоне,391186.0
2018,Укупно произведени комунални отпад,Тоне,395737.0
2019,Укупно произведени комунални отпад,Тоне,399826.0
2020,Укупно произведени комунални отпад,Тоне,390426.0
2021,Укупно произведени комунални отпад,Тоне,397182.0
2010,Комунални отпад предат на прераду,Тоне,1926.0
2011,Комунални отпад предат на прераду,Тоне,887.0
2012,Комунални отпад предат на прераду,Тоне,1635.0
2013,Комунални отпад предат на прераду,Тоне,3156.0
2014,Комунални отпад предат на прераду,Тоне,3260.0
2015,Комунални отпад предат на прераду,Тоне,2864.0
2016,Комунални отпад предат на прераду,Тоне,2901.0
2017,Комунални отпад предат на прераду,Тоне,2946.0
2018,Комунални отпад предат на прераду,Тоне,2767.0
2019,Комунални отпад предат на прераду,Тоне,2929.0
2020,Комунални отпад предат на прераду,Тоне,1999.0
2021,Комунални отпад предат на прераду,Тоне,2189.0
2010,Удио прерађеног комуналног отпада,Проценат,0.5
2011,Удио прерађеног комуналног отпада,Проценат,0.2
2012,Удио прерађеног комуналног отпада,Проценат,0.4
2013,Удио прерађеног комуналног отпада,Проценат,0.8
2014,Удио прерађеног комуналног отпада,Проценат,
2015,Удио прерађеног комуналног отпада,Проценат,0.7
2016,Удио прерађеног комуналног отпада,Проценат,0.7
2017,Удио прерађеног комуналног отпада,Проценат,0.8
2018,Удио прерађеног комуналног отпада,Проценат,0.7
2019,Удио прерађеног комуналног отпада,Проценат,0.7
2020,Удио прерађеног комуналног отпада,Проценат,0.5
2021,Удио прерађеног комуналног отпада,Проценат,0.6
