Year,SERIES,UNIT_MEASURE,Степен урбанизације,Value
2011,Проблеми домаћинства са стамбеном јединицом - трули прозорски оквири или врата,Проценат,Укупно,27.0
2015,Проблеми домаћинства са стамбеном јединицом - трули прозорски оквири или врата,Проценат,Укупно,25.1
2011,"Проблеми домаћинства са стамбеном јединицом - влага у подовима, зидовима, темељима",Проценат,Укупно,33.9
2015,"Проблеми домаћинства са стамбеном јединицом - влага у подовима, зидовима, темељима",Проценат,Укупно,36.2
2011,Проблеми домаћинства са стамбеном јединицом - кров прокишњава,Проценат,Укупно,15.4
2015,Проблеми домаћинства са стамбеном јединицом - кров прокишњава,Проценат,Укупно,11.9
2011,Проблеми домаћинства са стамбеном јединицом - имају проблеме са буком,Проценат,Укупно,10.6
2015,Проблеми домаћинства са стамбеном јединицом - имају проблеме са буком,Проценат,Укупно,2.0
