Year,SERIES,UNIT_MEASURE,COMPOSITE_BREAKDOWN,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Value
2020,Obim putnika (putnički kilometri),P_KM_MIL,Bez podjele,,,,,,,,,,,,,,,,,,,180
2021,Obim putnika (putnički kilometri),P_KM_MIL,Bez podjele,,,,,,,,,,,,,,,,,,,239
2009,Obim putnika (putnički kilometri),P_KM_MIL,Željeznički,,,,,,,,,,,,,,,,,,,27
2010,Obim putnika (putnički kilometri),P_KM_MIL,Željeznički,,,,,,,,,,,,,,,,,,,25
2011,Obim putnika (putnički kilometri),P_KM_MIL,Željeznički,,,,,,,,,,,,,,,,,,,22
2012,Obim putnika (putnički kilometri),P_KM_MIL,Željeznički,,,,,,,,,,,,,,,,,,,23
2013,Obim putnika (putnički kilometri),P_KM_MIL,Željeznički,,,,,,,,,,,,,,,,,,,15
2014,Obim putnika (putnički kilometri),P_KM_MIL,Željeznički,,,,,,,,,,,,,,,,,,,12
2015,Obim putnika (putnički kilometri),P_KM_MIL,Željeznički,,,,,,,,,,,,,,,,,,,13
2016,Obim putnika (putnički kilometri),P_KM_MIL,Željeznički,,,,,,,,,,,,,,,,,,,11
2017,Obim putnika (putnički kilometri),P_KM_MIL,Željeznički,,,,,,,,,,,,,,,,,,,7
2018,Obim putnika (putnički kilometri),P_KM_MIL,Željeznički,,,,,,,,,,,,,,,,,,,9
2019,Obim putnika (putnički kilometri),P_KM_MIL,Željeznički,,,,,,,,,,,,,,,,,,,15
2020,Obim putnika (putnički kilometri),P_KM_MIL,Željeznički,,,,,,,,,,,,,,,,,,,4
2021,Obim putnika (putnički kilometri),P_KM_MIL,Željeznički,,,,,,,,,,,,,,,,,,,3
2009,Obim putnika (putnički kilometri),P_KM_MIL,Cestovni,,,,,,,,,,,,,,,,,,,450
2010,Obim putnika (putnički kilometri),P_KM_MIL,Cestovni,,,,,,,,,,,,,,,,,,,449
2011,Obim putnika (putnički kilometri),P_KM_MIL,Cestovni,,,,,,,,,,,,,,,,,,,458
2012,Obim putnika (putnički kilometri),P_KM_MIL,Cestovni,,,,,,,,,,,,,,,,,,,563
2013,Obim putnika (putnički kilometri),P_KM_MIL,Cestovni,,,,,,,,,,,,,,,,,,,457
2014,Obim putnika (putnički kilometri),P_KM_MIL,Cestovni,,,,,,,,,,,,,,,,,,,432
2015,Obim putnika (putnički kilometri),P_KM_MIL,Cestovni,,,,,,,,,,,,,,,,,,,405
2016,Obim putnika (putnički kilometri),P_KM_MIL,Cestovni,,,,,,,,,,,,,,,,,,,385
