Year,SERIES,UNIT_MEASURE,Value
2009,Planinski ekosistemi,Broj,2.0
2010,Planinski ekosistemi,Broj,2.0
2011,Planinski ekosistemi,Broj,2.0
2012,Planinski ekosistemi,Broj,3.0
2013,Planinski ekosistemi,Broj,4.0
2014,Planinski ekosistemi,Broj,4.0
2015,Planinski ekosistemi,Broj,4.0
2016,Planinski ekosistemi,Broj,4.0
2017,Planinski ekosistemi,Broj,5.0
2018,Planinski ekosistemi,Broj,6.0
2019,Planinski ekosistemi,Broj,6.0
2020,Planinski ekosistemi,Broj,7.0
2021,Planinski ekosistemi,Broj,9.0
2009,Planinski ekosistemi,Površina u hektarima,19959.88
2010,Planinski ekosistemi,Površina u hektarima,19959.88
2011,Planinski ekosistemi,Površina u hektarima,19959.88
2012,Planinski ekosistemi,Površina u hektarima,20254.88
2013,Planinski ekosistemi,Površina u hektarima,20552.7
2014,Planinski ekosistemi,Površina u hektarima,20552.7
2015,Planinski ekosistemi,Površina u hektarima,20552.7
2016,Planinski ekosistemi,Površina u hektarima,20552.7
2017,Planinski ekosistemi,Površina u hektarima,26868.02
2018,Planinski ekosistemi,Površina u hektarima,27198.77
2019,Planinski ekosistemi,Površina u hektarima,27198.77
2020,Planinski ekosistemi,Površina u hektarima,43914.61
2021,Planinski ekosistemi,Površina u hektarima,48114.47
