Year,SERIES,UNIT_MEASURE,Value
2009,Ukupni tokovi direktnih stranih ulaganja,u milionima КМ,170.4
2010,Ukupni tokovi direktnih stranih ulaganja,u milionima КМ,205.1
2011,Ukupni tokovi direktnih stranih ulaganja,u milionima КМ,372.5
2012,Ukupni tokovi direktnih stranih ulaganja,u milionima КМ,403.6
2013,Ukupni tokovi direktnih stranih ulaganja,u milionima КМ,165.3
2014,Ukupni tokovi direktnih stranih ulaganja,u milionima КМ,422.3
2015,Ukupni tokovi direktnih stranih ulaganja,u milionima КМ,146.5
2016,Ukupni tokovi direktnih stranih ulaganja,u milionima КМ,84.5
2017,Ukupni tokovi direktnih stranih ulaganja,u milionima КМ,284.0
2018,Ukupni tokovi direktnih stranih ulaganja,u milionima КМ,399.1
2019,Ukupni tokovi direktnih stranih ulaganja,u milionima КМ,398.1
2020,Ukupni tokovi direktnih stranih ulaganja,u milionima КМ,285.1
2021,Ukupni tokovi direktnih stranih ulaganja,u milionima КМ,156.6
2009,Ukupno stanje direktnih stranih ulaganja na dan 31.12.,u milionima КМ,3550.3
2010,Ukupno stanje direktnih stranih ulaganja na dan 31.12.,u milionima КМ,3710.2
2011,Ukupno stanje direktnih stranih ulaganja na dan 31.12.,u milionima КМ,4025.4
2012,Ukupno stanje direktnih stranih ulaganja na dan 31.12.,u milionima КМ,4209.9
2013,Ukupno stanje direktnih stranih ulaganja na dan 31.12.,u milionima КМ,4867.0
2014,Ukupno stanje direktnih stranih ulaganja na dan 31.12.,u milionima КМ,4621.7
2015,Ukupno stanje direktnih stranih ulaganja na dan 31.12.,u milionima КМ,5162.5
2016,Ukupno stanje direktnih stranih ulaganja na dan 31.12.,u milionima КМ,4977.5
2017,Ukupno stanje direktnih stranih ulaganja na dan 31.12.,u milionima КМ,5122.6
2018,Ukupno stanje direktnih stranih ulaganja na dan 31.12.,u milionima КМ,5362.2
2019,Ukupno stanje direktnih stranih ulaganja na dan 31.12.,u milionima КМ,5524.3
2020,Ukupno stanje direktnih stranih ulaganja na dan 31.12.,u milionima КМ,5498.6
2021,Ukupno stanje direktnih stranih ulaganja na dan 31.12.,u milionima КМ,5596.4
