Year,SERIES,UNIT_MEASURE,COMPOSITE_BREAKDOWN,Value
2012,Lista ugroženih vrsta,Broj,Beskičmenjaci (Inverttebratae),308
2013,Lista ugroženih vrsta,Broj,Beskičmenjaci (Inverttebratae),308
2014,Lista ugroženih vrsta,Broj,Beskičmenjaci (Inverttebratae),308
2015,Lista ugroženih vrsta,Broj,Beskičmenjaci (Inverttebratae),308
2016,Lista ugroženih vrsta,Broj,Beskičmenjaci (Inverttebratae),308
2017,Lista ugroženih vrsta,Broj,Beskičmenjaci (Inverttebratae),308
2018,Lista ugroženih vrsta,Broj,Beskičmenjaci (Inverttebratae),308
2019,Lista ugroženih vrsta,Broj,Beskičmenjaci (Inverttebratae),308
2020,Lista ugroženih vrsta,Broj,Beskičmenjaci (Inverttebratae),308
2021,Lista ugroženih vrsta,Broj,Beskičmenjaci (Inverttebratae),308
2012,Lista ugroženih vrsta,Broj,Gmizavci (Reptiles),25
2013,Lista ugroženih vrsta,Broj,Gmizavci (Reptiles),25
2014,Lista ugroženih vrsta,Broj,Gmizavci (Reptiles),25
2015,Lista ugroženih vrsta,Broj,Gmizavci (Reptiles),25
2016,Lista ugroženih vrsta,Broj,Gmizavci (Reptiles),25
2017,Lista ugroženih vrsta,Broj,Gmizavci (Reptiles),25
2018,Lista ugroženih vrsta,Broj,Gmizavci (Reptiles),25
2019,Lista ugroženih vrsta,Broj,Gmizavci (Reptiles),25
2020,Lista ugroženih vrsta,Broj,Gmizavci (Reptiles),25
2021,Lista ugroženih vrsta,Broj,Gmizavci (Reptiles),25
2012,Lista ugroženih vrsta,Broj,Vodozemci (Amphibia),20
2013,Lista ugroženih vrsta,Broj,Vodozemci (Amphibia),20
2014,Lista ugroženih vrsta,Broj,Vodozemci (Amphibia),20
2015,Lista ugroženih vrsta,Broj,Vodozemci (Amphibia),20
2016,Lista ugroženih vrsta,Broj,Vodozemci (Amphibia),20
2017,Lista ugroženih vrsta,Broj,Vodozemci (Amphibia),20
2018,Lista ugroženih vrsta,Broj,Vodozemci (Amphibia),20
2019,Lista ugroženih vrsta,Broj,Vodozemci (Amphibia),20
2020,Lista ugroženih vrsta,Broj,Vodozemci (Amphibia),20
2021,Lista ugroženih vrsta,Broj,Vodozemci (Amphibia),20
2012,Lista ugroženih vrsta,Broj,Sisari (Mammals),57
2013,Lista ugroženih vrsta,Broj,Sisari (Mammals),57
2014,Lista ugroženih vrsta,Broj,Sisari (Mammals),57
2015,Lista ugroženih vrsta,Broj,Sisari (Mammals),57
2016,Lista ugroženih vrsta,Broj,Sisari (Mammals),57
2017,Lista ugroženih vrsta,Broj,Sisari (Mammals),57
2018,Lista ugroženih vrsta,Broj,Sisari (Mammals),57
2019,Lista ugroženih vrsta,Broj,Sisari (Mammals),57
2020,Lista ugroženih vrsta,Broj,Sisari (Mammals),57
2021,Lista ugroženih vrsta,Broj,Sisari (Mammals),57
2012,Lista ugroženih vrsta,Broj,Ribe (Pisces),48
2013,Lista ugroženih vrsta,Broj,Ribe (Pisces),48
2014,Lista ugroženih vrsta,Broj,Ribe (Pisces),48
2015,Lista ugroženih vrsta,Broj,Ribe (Pisces),48
2016,Lista ugroženih vrsta,Broj,Ribe (Pisces),48
2017,Lista ugroženih vrsta,Broj,Ribe (Pisces),48
2018,Lista ugroženih vrsta,Broj,Ribe (Pisces),48
2019,Lista ugroženih vrsta,Broj,Ribe (Pisces),48
2020,Lista ugroženih vrsta,Broj,Ribe (Pisces),48
2021,Lista ugroženih vrsta,Broj,Ribe (Pisces),48
2012,Lista ugroženih vrsta,Broj,Ptice (Aves),304
2013,Lista ugroženih vrsta,Broj,Ptice (Aves),304
2014,Lista ugroženih vrsta,Broj,Ptice (Aves),304
2015,Lista ugroženih vrsta,Broj,Ptice (Aves),304
2016,Lista ugroženih vrsta,Broj,Ptice (Aves),304
2017,Lista ugroženih vrsta,Broj,Ptice (Aves),304
2018,Lista ugroženih vrsta,Broj,Ptice (Aves),304
2019,Lista ugroženih vrsta,Broj,Ptice (Aves),304
2020,Lista ugroženih vrsta,Broj,Ptice (Aves),304
2021,Lista ugroženih vrsta,Broj,Ptice (Aves),304
2012,Lista ugroženih vrsta,Broj,Vaskularna flora (Planate),818
2013,Lista ugroženih vrsta,Broj,Vaskularna flora (Planate),818
2014,Lista ugroženih vrsta,Broj,Vaskularna flora (Planate),818
2015,Lista ugroženih vrsta,Broj,Vaskularna flora (Planate),818
2016,Lista ugroženih vrsta,Broj,Vaskularna flora (Planate),818
2017,Lista ugroženih vrsta,Broj,Vaskularna flora (Planate),818
2018,Lista ugroženih vrsta,Broj,Vaskularna flora (Planate),818
2019,Lista ugroženih vrsta,Broj,Vaskularna flora (Planate),818
2020,Lista ugroženih vrsta,Broj,Vaskularna flora (Planate),818
2021,Lista ugroženih vrsta,Broj,Vaskularna flora (Planate),818
