Year,SERIES,UNIT_MEASURE,Value
2012,Broj lica liječenih zbog zloupotrebe opojnih droga,Broj,323
2013,Broj lica liječenih zbog zloupotrebe opojnih droga,Broj,375
2014,Broj lica liječenih zbog zloupotrebe opojnih droga,Broj,385
2015,Broj lica liječenih zbog zloupotrebe opojnih droga,Broj,455
2016,Broj lica liječenih zbog zloupotrebe opojnih droga,Broj,486
2017,Broj lica liječenih zbog zloupotrebe opojnih droga,Broj,534
2018,Broj lica liječenih zbog zloupotrebe opojnih droga,Broj,540
2019,Broj lica liječenih zbog zloupotrebe opojnih droga,Broj,573
2020,Broj lica liječenih zbog zloupotrebe opojnih droga,Broj,597
2021,Broj lica liječenih zbog zloupotrebe opojnih droga,Broj,608
