Year,SERIES,UNIT_MEASURE,Value
2010,EN_REF_WASGENT,Tone,392891.0
2011,EN_REF_WASGENT,Tone,381185.0
2012,EN_REF_WASGENT,Tone,376438.0
2013,EN_REF_WASGENT,Tone,388767.0
2014,EN_REF_WASGENT,Tone,
2015,EN_REF_WASGENT,Tone,403352.0
2016,EN_REF_WASGENT,Tone,425962.0
2017,EN_REF_WASGENT,Tone,391186.0
2018,EN_REF_WASGENT,Tone,395737.0
2019,EN_REF_WASGENT,Tone,399826.0
2020,EN_REF_WASGENT,Tone,390426.0
2021,EN_REF_WASGENT,Tone,397182.0
2010,EN_REF_WASDELT,Tone,1926.0
2011,EN_REF_WASDELT,Tone,887.0
2012,EN_REF_WASDELT,Tone,1635.0
2013,EN_REF_WASDELT,Tone,3156.0
2014,EN_REF_WASDELT,Tone,3260.0
2015,EN_REF_WASDELT,Tone,2864.0
2016,EN_REF_WASDELT,Tone,2901.0
2017,EN_REF_WASDELT,Tone,2946.0
2018,EN_REF_WASDELT,Tone,2767.0
2019,EN_REF_WASDELT,Tone,2929.0
2020,EN_REF_WASDELT,Tone,1999.0
2021,EN_REF_WASDELT,Tone,2189.0
2010,EN_REF_WASTSHR,Procenat,0.5
2011,EN_REF_WASTSHR,Procenat,0.2
2012,EN_REF_WASTSHR,Procenat,0.4
2013,EN_REF_WASTSHR,Procenat,0.8
2014,EN_REF_WASTSHR,Procenat,
2015,EN_REF_WASTSHR,Procenat,0.7
2016,EN_REF_WASTSHR,Procenat,0.7
2017,EN_REF_WASTSHR,Procenat,0.8
2018,EN_REF_WASTSHR,Procenat,0.7
2019,EN_REF_WASTSHR,Procenat,0.7
2020,EN_REF_WASTSHR,Procenat,0.5
2021,EN_REF_WASTSHR,Procenat,0.6
