Year,SERIES,UNIT_MEASURE,Pol,Value
2010,Stopa rasprostranjenosti mita,Procenat,Oba pola ili bez podjele po polu,
2010,Stopa rasprostranjenosti mita,Procenat,Žene,
2010,Stopa rasprostranjenosti mita,Procenat,Muškarci,
