Year,SERIES,UNIT_MEASURE,Nivo zahtjeva,Value
2020,"Broj kompanija koje objavljuju izvještaje o održivosti s objavom po dimenzijama, prema nivou zahtjeva",Broj,Napredan,0
2020,"Broj kompanija koje objavljuju izvještaje o održivosti s objavom po dimenzijama, prema nivou zahtjeva",Broj,Minimalan,0
