Indicator
#1-2-1
#1-2-2
#1-3-1
#1-4-2
#10-2-1
#10-5-1
#10-b-1
#11-1-1
#11-6-1
#15-1-2
#15-4-1
#15-5-1
#15-a-1
#16-1-1
#16-2-2
#17-8-1
#2-2-1
#2-2-2
#3-1-1
#3-1-2
#3-2-1
#3-2-2
#3-3-1
#3-3-2
#3-3-4
#3-4-1
#3-4-2
#3-5-1
#3-5-2
#3-6-1
#3-7-1
#3-7-2
#3-a-1
#3-b-1
#3-b-2
#3-c-1
#3-d-1
#3-d-2
#4-2-1
#4-2-2
#4-3-1
#4-4-1
#5-2-1
#5-5-1
#6-1-1
#6-2-1
#6-3-1
#6-3-2
#7-1-1
#8-10-1
#8-5-2
#8-9-2
#9-1-2
#9-2-1
#9-3-1
#9-5-1
#9-5-2
