Value,en,lat,cir,Disaggregation combinations using this value,Number of indicators
_T,_T,_T,_T,2,1
ACCESS_LEVEL_0,Service not used,Usluga se ne koristi,Услуга се не користи,6,1
ACCESS_LEVEL_1,Very easy,Veoma lako,Веома лако,6,1
ACCESS_LEVEL_2,Easy,Lako,Лако,6,1
ACCESS_LEVEL_3,Difficult,Teško,Тешко,6,1
ACCESS_LEVEL_4,Very difficult,Veoma teško,Веома тешко,6,1
