Value,en,lat,cir,Disaggregation combinations using this value,Number of indicators
_T,Both sexes or no breakdown by sex,Oba spola ili bez podjele po spolu,Оба пола или без подјеле по полу,71,15
F,Female,Žene,Жене,66,18
M,Male,Muškarci,Мушкарци,52,13
