Indicator,Disaggregation combinations using this value
#1-2-1,2
#1-2-2,7
#1-3-1,1
#10-2-1,1
#10-5-1,18
#11-1-1,4
#11-6-1,1
#17-8-1,1
#2-2-1,1
#2-2-2,2
#3-1-2,1
#3-7-1,1
#3-a-1,5
#4-2-1,5
#4-2-2,7
#4-3-1,3
#4-4-1,26
#5-1-1,4
#5-2-1,6
#5-2-2,4
#5-5-1,2
#6-1-1,4
#6-2-1,6
#6-3-1,1
#7-1-1,3
#8-5-2,18
#8-9-1,1
#9-2-1,1
#9-3-1,1
#9-5-1,1
