Indicator,Disaggregation combinations using this value
#1-2-2,5
#1-3-1,19
#1-4-2,3
#16-1-1,2
#16-2-2,8
#3-2-1,1
#3-2-2,1
#3-3-1,8
#3-4-1,1
#3-4-2,2
#3-a-1,3
#4-2-2,3
#4-3-1,1
#4-4-1,2
#5-5-1,1
#8-5-2,6
