Value,en,lat,cir,Disaggregation combinations using this value,Number of indicators
_T,_T,_T,_T,3,1
ACCESS_LEVEL_0,ACCESS_LEVEL_0,ACCESS_LEVEL_0,ACCESS_LEVEL_0,6,1
ACCESS_LEVEL_1,ACCESS_LEVEL_1,ACCESS_LEVEL_1,ACCESS_LEVEL_1,6,1
ACCESS_LEVEL_2,ACCESS_LEVEL_2,ACCESS_LEVEL_2,ACCESS_LEVEL_2,6,1
ACCESS_LEVEL_3,ACCESS_LEVEL_3,ACCESS_LEVEL_3,ACCESS_LEVEL_3,6,1
ACCESS_LEVEL_4,ACCESS_LEVEL_4,ACCESS_LEVEL_4,ACCESS_LEVEL_4,6,1
