Value,en,lat,cir,Disaggregation combinations using this value,Number of indicators
HHS,Households,Domaćinstva,Домаћинства,2,1
OOHC,Out-of-home consumption,Potrošnja izvan domaćinstva,Потрошња изван домаћинства,2,1
RTL,Retail,Maloprodaja,Малопродаја,2,1
