Indicator
#1-2-2
#1-3-1
#1-4-2
#16-1-1
#16-2-2
#3-1-1
#3-2-1
#3-2-2
#3-3-1
#3-4-1
#3-4-2
#3-7-1
#3-7-2
#3-a-1
#4-2-2
#4-3-1
#4-4-1
#5-2-1
#5-2-2
#5-5-1
#8-5-2
