Indicator,Disaggregation combinations using this value
#1-2-1,2
#1-3-1,58
#15-1-2,2
#15-4-1,1
#15-5-1,7
#16-1-1,3
#16-2-2,11
#3-3-1,9
#3-4-2,3
#3-5-1,1
#5-5-1,2
#8-10-1,6
#8-9-2,3
