Indicator
#1-3-1
#16-2-2
#2-2-1
#2-2-2
#3-2-1
#3-2-2
#3-3-1
#3-5-2
#3-7-1
#3-7-2
#3-a-1
#4-2-2
#4-4-1
#8-10-1
#8-5-2
