Value,en,lat,cir,Disaggregation combinations using this value,Number of indicators
AGG_ED_0,AGG_ED_0,AGG_ED_0,AGG_ED_0,1,1
AGG_ED_1,AGG_ED_1,AGG_ED_1,AGG_ED_1,1,1
AGG_ED_2,AGG_ED_2,AGG_ED_2,AGG_ED_2,1,1
