Year,Value,UNIT_MEASURE,SERIES
2009,0.0,На 100 000 живорођених,Стопа смртности мајки
2010,9.8,На 100 000 живорођених,Стопа смртности мајки
2011,10.5,На 100 000 живорођених,Стопа смртности мајки
2012,0.0,На 100 000 живорођених,Стопа смртности мајки
2013,0.0,На 100 000 живорођених,Стопа смртности мајки
2014,0.0,На 100 000 живорођених,Стопа смртности мајки
2015,10.7,На 100 000 живорођених,Стопа смртности мајки
2016,10.6,На 100 000 живорођених,Стопа смртности мајки
2017,0.0,На 100 000 живорођених,Стопа смртности мајки
2018,10.5,На 100 000 живорођених,Стопа смртности мајки
2019,0.0,На 100 000 живорођених,Стопа смртности мајки
2020,32.7,На 100 000 живорођених,Стопа смртности мајки
2021,0.0,На 100 000 живорођених,Стопа смртности мајки
2022,11.0,На 100 000 живорођених,Стопа смртности мајки
2023,0.0,На 100 000 живорођених,Стопа смртности мајки
