Year,Value,UNIT_MEASURE,SERIES
2009,2.0,Број,ER_PTD_MTNEC
2010,2.0,Број,ER_PTD_MTNEC
2011,2.0,Број,ER_PTD_MTNEC
2012,3.0,Број,ER_PTD_MTNEC
2013,4.0,Број,ER_PTD_MTNEC
2014,4.0,Број,ER_PTD_MTNEC
2015,4.0,Број,ER_PTD_MTNEC
2016,4.0,Број,ER_PTD_MTNEC
2017,5.0,Број,ER_PTD_MTNEC
2018,6.0,Број,ER_PTD_MTNEC
2019,6.0,Број,ER_PTD_MTNEC
2020,7.0,Број,ER_PTD_MTNEC
2021,9.0,Број,ER_PTD_MTNEC
2009,19959.88,HA_A,ER_PTD_MTNEC
2010,19959.88,HA_A,ER_PTD_MTNEC
2011,19959.88,HA_A,ER_PTD_MTNEC
2012,20254.88,HA_A,ER_PTD_MTNEC
2013,20552.7,HA_A,ER_PTD_MTNEC
2014,20552.7,HA_A,ER_PTD_MTNEC
2015,20552.7,HA_A,ER_PTD_MTNEC
2016,20552.7,HA_A,ER_PTD_MTNEC
2017,26868.02,HA_A,ER_PTD_MTNEC
2018,27198.77,HA_A,ER_PTD_MTNEC
2019,27198.77,HA_A,ER_PTD_MTNEC
2020,43914.61,HA_A,ER_PTD_MTNEC
2021,48114.47,HA_A,ER_PTD_MTNEC
