Year,Value,UNIT_MEASURE,SERIES
2009,0.3,Проценат,Расходи за истраживање и развој као удио у БДП-у
2010,0.25,Проценат,Расходи за истраживање и развој као удио у БДП-у
2011,0.3,Проценат,Расходи за истраживање и развој као удио у БДП-у
2012,0.4,Проценат,Расходи за истраживање и развој као удио у БДП-у
2013,0.56,Проценат,Расходи за истраживање и развој као удио у БДП-у
2014,0.2,Проценат,Расходи за истраживање и развој као удио у БДП-у
2015,0.19,Проценат,Расходи за истраживање и развој као удио у БДП-у
2016,0.17,Проценат,Расходи за истраживање и развој као удио у БДП-у
2017,0.17,Проценат,Расходи за истраживање и развој као удио у БДП-у
2018,0.17,Проценат,Расходи за истраживање и развој као удио у БДП-у
2019,0.16,Проценат,Расходи за истраживање и развој као удио у БДП-у
2020,0.18,Проценат,Расходи за истраживање и развој као удио у БДП-у
2021,0.2,Проценат,Расходи за истраживање и развој као удио у БДП-у
