Year,Value,UNIT_MEASURE,SERIES
2009,170.4,у милионима КМ,Укупни токови директних страних улагања
2010,205.1,у милионима КМ,Укупни токови директних страних улагања
2011,372.5,у милионима КМ,Укупни токови директних страних улагања
2012,403.6,у милионима КМ,Укупни токови директних страних улагања
2013,165.3,у милионима КМ,Укупни токови директних страних улагања
2014,422.3,у милионима КМ,Укупни токови директних страних улагања
2015,146.5,у милионима КМ,Укупни токови директних страних улагања
2016,84.5,у милионима КМ,Укупни токови директних страних улагања
2017,284.0,у милионима КМ,Укупни токови директних страних улагања
2018,399.1,у милионима КМ,Укупни токови директних страних улагања
2019,398.1,у милионима КМ,Укупни токови директних страних улагања
2020,304.8,у милионима КМ,Укупни токови директних страних улагања
2021,214.2,у милионима КМ,Укупни токови директних страних улагања
2022,398.6,у милионима КМ,Укупни токови директних страних улагања
2023,1081.6,у милионима КМ,Укупни токови директних страних улагања
2009,3550.3,у милионима КМ,Укупно стање директних страних улагања на дан 31.12.
2010,3710.2,у милионима КМ,Укупно стање директних страних улагања на дан 31.12.
2011,4025.4,у милионима КМ,Укупно стање директних страних улагања на дан 31.12.
2012,4209.9,у милионима КМ,Укупно стање директних страних улагања на дан 31.12.
2013,4867.0,у милионима КМ,Укупно стање директних страних улагања на дан 31.12.
2014,4621.7,у милионима КМ,Укупно стање директних страних улагања на дан 31.12.
2015,5162.5,у милионима КМ,Укупно стање директних страних улагања на дан 31.12.
2016,4977.5,у милионима КМ,Укупно стање директних страних улагања на дан 31.12.
2017,5122.6,у милионима КМ,Укупно стање директних страних улагања на дан 31.12.
2018,5362.2,у милионима КМ,Укупно стање директних страних улагања на дан 31.12.
2019,5524.3,у милионима КМ,Укупно стање директних страних улагања на дан 31.12.
2020,5581.3,у милионима КМ,Укупно стање директних страних улагања на дан 31.12.
2021,5756.7,у милионима КМ,Укупно стање директних страних улагања на дан 31.12.
2022,6132.3,у милионима КМ,Укупно стање директних страних улагања на дан 31.12.
2023,7167.4,у милионима КМ,Укупно стање директних страних улагања на дан 31.12.
