Year,Value,UNIT_MEASURE,SERIES
2009,4.7,На 100 000 становника,SH_HAP_HBSAGINC
2010,2.7,На 100 000 становника,SH_HAP_HBSAGINC
2011,3.9,На 100 000 становника,SH_HAP_HBSAGINC
2012,4.5,На 100 000 становника,SH_HAP_HBSAGINC
2013,5.6,На 100 000 становника,SH_HAP_HBSAGINC
2014,3.9,На 100 000 становника,SH_HAP_HBSAGINC
2015,2.3,На 100 000 становника,SH_HAP_HBSAGINC
2016,3.6,На 100 000 становника,SH_HAP_HBSAGINC
2017,4.0,На 100 000 становника,SH_HAP_HBSAGINC
2018,5.2,На 100 000 становника,SH_HAP_HBSAGINC
2019,4.5,На 100 000 становника,SH_HAP_HBSAGINC
2020,1.9,На 100 000 становника,SH_HAP_HBSAGINC
2021,1.5,На 100 000 становника,SH_HAP_HBSAGINC
