Year,Value,UNIT_MEASURE,SERIES
2010,392891.0,Тоне,Укупно произведени комунални отпад
2011,381185.0,Тоне,Укупно произведени комунални отпад
2012,376438.0,Тоне,Укупно произведени комунални отпад
2013,388767.0,Тоне,Укупно произведени комунални отпад
2014,,Тоне,Укупно произведени комунални отпад
2015,403352.0,Тоне,Укупно произведени комунални отпад
2016,425962.0,Тоне,Укупно произведени комунални отпад
2017,391186.0,Тоне,Укупно произведени комунални отпад
2018,395737.0,Тоне,Укупно произведени комунални отпад
2019,399826.0,Тоне,Укупно произведени комунални отпад
2020,390426.0,Тоне,Укупно произведени комунални отпад
2021,397182.0,Тоне,Укупно произведени комунални отпад
2010,1926.0,Тоне,Комунални отпад предат на прераду
2011,887.0,Тоне,Комунални отпад предат на прераду
2012,1635.0,Тоне,Комунални отпад предат на прераду
2013,3156.0,Тоне,Комунални отпад предат на прераду
2014,3260.0,Тоне,Комунални отпад предат на прераду
2015,2864.0,Тоне,Комунални отпад предат на прераду
2016,2901.0,Тоне,Комунални отпад предат на прераду
2017,2946.0,Тоне,Комунални отпад предат на прераду
2018,2767.0,Тоне,Комунални отпад предат на прераду
2019,2929.0,Тоне,Комунални отпад предат на прераду
2020,1999.0,Тоне,Комунални отпад предат на прераду
2021,2189.0,Тоне,Комунални отпад предат на прераду
2010,0.5,Проценат,Удио прерађеног комуналног отпада
2011,0.2,Проценат,Удио прерађеног комуналног отпада
2012,0.4,Проценат,Удио прерађеног комуналног отпада
2013,0.8,Проценат,Удио прерађеног комуналног отпада
2014,,Проценат,Удио прерађеног комуналног отпада
2015,0.7,Проценат,Удио прерађеног комуналног отпада
2016,0.7,Проценат,Удио прерађеног комуналног отпада
2017,0.8,Проценат,Удио прерађеног комуналног отпада
2018,0.7,Проценат,Удио прерађеног комуналног отпада
2019,0.7,Проценат,Удио прерађеног комуналног отпада
2020,0.5,Проценат,Удио прерађеног комуналног отпада
2021,0.6,Проценат,Удио прерађеног комуналног отпада
