Year,Value,UNIT_MEASURE,SERIES
2004,199752.0,Број,Удио становништва које живи испод националне границе сиромаштва
2007,182389.0,Број,Удио становништва које живи испод националне границе сиромаштва
2011,152909.0,Број,Удио становништва које живи испод националне границе сиромаштва
2015,126043.0,Број,Удио становништва које живи испод националне границе сиромаштва
2004,15.8,Проценат,Удио становништва које живи испод националне границе сиромаштва
2007,15.6,Проценат,Удио становништва које живи испод националне границе сиромаштва
2011,14.4,Проценат,Удио становништва које живи испод националне границе сиромаштва
2015,12.8,Проценат,Удио становништва које живи испод националне границе сиромаштва
2004,63973.0,Број,Удио домаћинстава која живе испод националне границе сиромаштва
2007,64708.0,Број,Удио домаћинстава која живе испод националне границе сиромаштва
2011,53234.0,Број,Удио домаћинстава која живе испод националне границе сиромаштва
2015,49805.0,Број,Удио домаћинстава која живе испод националне границе сиромаштва
2004,16.1,Проценат,Удио домаћинстава која живе испод националне границе сиромаштва
2007,17.3,Проценат,Удио домаћинстава која живе испод националне границе сиромаштва
2011,14.8,Проценат,Удио домаћинстава која живе испод националне границе сиромаштва
2015,13.9,Проценат,Удио домаћинстава која живе испод националне границе сиромаштва
