Year,Value,UNIT_MEASURE,SERIES
2009,3.0,Број,Копнени екосистеми
2010,3.0,Број,Копнени екосистеми
2011,4.0,Број,Копнени екосистеми
2012,8.0,Број,Копнени екосистеми
2013,12.0,Број,Копнени екосистеми
2014,12.0,Број,Копнени екосистеми
2015,16.0,Број,Копнени екосистеми
2016,18.0,Број,Копнени екосистеми
2017,19.0,Број,Копнени екосистеми
2018,21.0,Број,Копнени екосистеми
2019,26.0,Број,Копнени екосистеми
2020,27.0,Број,Копнени екосистеми
2021,31.0,Број,Копнени екосистеми
2009,20005.33,Површина у хектарима,Копнени екосистеми
2010,20005.33,Површина у хектарима,Копнени екосистеми
2011,20032.34,Површина у хектарима,Копнени екосистеми
2012,20367.49,Површина у хектарима,Копнени екосистеми
2013,20734.13,Површина у хектарима,Копнени екосистеми
2014,20734.13,Површина у хектарима,Копнени екосистеми
2015,21593.92,Површина у хектарима,Копнени екосистеми
2016,21657.03,Површина у хектарима,Копнени екосистеми
2017,27972.35,Површина у хектарима,Копнени екосистеми
2018,28306.07,Површина у хектарима,Копнени екосистеми
2019,32106.1,Површина у хектарима,Копнени екосистеми
2020,48822.63,Површина у хектарима,Копнени екосистеми
2021,53533.58,Површина у хектарима,Копнени екосистеми
2018,2.0,Број,Слатководни екосистеми
2019,3.0,Број,Слатководни екосистеми
2020,3.0,Број,Слатководни екосистеми
2021,4.0,Број,Слатководни екосистеми
2018,3695.05,Површина у хектарима,Слатководни екосистеми
2019,3800.39,Површина у хектарима,Слатководни екосистеми
2020,3800.39,Површина у хектарима,Слатководни екосистеми
2021,4121.08,Површина у хектарима,Слатководни екосистеми
