Year,Value,UNIT_MEASURE,SERIES
2010,1084.0,Хиљаду кубних метара,Третиране отпадне комуналне воде (хиљ. m3)
2011,959.0,Хиљаду кубних метара,Третиране отпадне комуналне воде (хиљ. m3)
2012,1109.0,Хиљаду кубних метара,Третиране отпадне комуналне воде (хиљ. m3)
2013,1169.0,Хиљаду кубних метара,Третиране отпадне комуналне воде (хиљ. m3)
2014,1193.0,Хиљаду кубних метара,Третиране отпадне комуналне воде (хиљ. m3)
2015,1266.0,Хиљаду кубних метара,Третиране отпадне комуналне воде (хиљ. m3)
2016,2698.0,Хиљаду кубних метара,Третиране отпадне комуналне воде (хиљ. m3)
2017,2660.0,Хиљаду кубних метара,Третиране отпадне комуналне воде (хиљ. m3)
2018,2841.0,Хиљаду кубних метара,Третиране отпадне комуналне воде (хиљ. m3)
2019,2936.0,Хиљаду кубних метара,Третиране отпадне комуналне воде (хиљ. m3)
2020,3171.0,Хиљаду кубних метара,Третиране отпадне комуналне воде (хиљ. m3)
2021,2684.0,Хиљаду кубних метара,Третиране отпадне комуналне воде (хиљ. m3)
2019,4.5,Проценат,Становништво прикључено на пречистаче отпадних комуналних вода са најмање секундарним третманом (%)
2020,4.5,Проценат,Становништво прикључено на пречистаче отпадних комуналних вода са најмање секундарним третманом (%)
2021,4.7,Проценат,Становништво прикључено на пречистаче отпадних комуналних вода са најмање секундарним третманом (%)
