Year,SERIES,UNIT_MEASURE,SEX,AGE,Value
2018,SI_COV_SOCPDPENS,NUMBER,_T,_OWCH,1048
2019,SI_COV_SOCPDPENS,NUMBER,_T,_OWCH,1214
2020,SI_COV_SOCPDPENS,NUMBER,_T,_OWCH,1445
2021,SI_COV_SOCPDPENS,NUMBER,_T,_OWCH,1626
2018,SI_COV_SOCPDPENS,NUMBER,M,_OWCH,670
2019,SI_COV_SOCPDPENS,NUMBER,M,_OWCH,777
2020,SI_COV_SOCPDPENS,NUMBER,M,_OWCH,912
2021,SI_COV_SOCPDPENS,NUMBER,M,_OWCH,1019
2018,SI_COV_SOCPDPENS,NUMBER,F,_OWCH,378
2019,SI_COV_SOCPDPENS,NUMBER,F,_OWCH,437
2020,SI_COV_SOCPDPENS,NUMBER,F,_OWCH,533
2021,SI_COV_SOCPDPENS,NUMBER,F,_OWCH,607
