Year,SERIES,UNIT_MEASURE,URBANISATION,Value
2011,EN_LND_DWPDW,PT,_T,27.0
2015,EN_LND_DWPDW,PT,_T,25.1
2011,EN_LND_DWPDAMP,PT,_T,33.9
2015,EN_LND_DWPDAMP,PT,_T,36.2
2011,EN_LND_DWPROOF,PT,_T,15.4
2015,EN_LND_DWPROOF,PT,_T,11.9
2011,EN_LND_DWPNOISE,PT,_T,10.6
2015,EN_LND_DWPNOISE,PT,_T,2.0
