Year,SERIES,UNIT_MEASURE,Value
2009,ER_PTD_TERREC,NUMBER,3
2010,ER_PTD_TERREC,NUMBER,3
2011,ER_PTD_TERREC,NUMBER,4
2012,ER_PTD_TERREC,NUMBER,8
2013,ER_PTD_TERREC,NUMBER,12
2014,ER_PTD_TERREC,NUMBER,12
2015,ER_PTD_TERREC,NUMBER,16
2016,ER_PTD_TERREC,NUMBER,18
2017,ER_PTD_TERREC,NUMBER,19
2018,ER_PTD_TERREC,NUMBER,21
2019,ER_PTD_TERREC,NUMBER,26
2020,ER_PTD_TERREC,NUMBER,27
2021,ER_PTD_TERREC,NUMBER,31
2009,ER_PTD_TERREC,HA_A,20005.33
2010,ER_PTD_TERREC,HA_A,20005.33
2011,ER_PTD_TERREC,HA_A,20032.34
2012,ER_PTD_TERREC,HA_A,20367.49
2013,ER_PTD_TERREC,HA_A,20734.13
2014,ER_PTD_TERREC,HA_A,20734.13
2015,ER_PTD_TERREC,HA_A,21593.92
2016,ER_PTD_TERREC,HA_A,21657.03
2017,ER_PTD_TERREC,HA_A,27972.35
2018,ER_PTD_TERREC,HA_A,28306.07
2019,ER_PTD_TERREC,HA_A,32106.10
2020,ER_PTD_TERREC,HA_A,48822.63
2021,ER_PTD_TERREC,HA_A,53533.58
2018,ER_PTD_FRHWTREC,NUMBER,2
2019,ER_PTD_FRHWTREC,NUMBER,3
2020,ER_PTD_FRHWTREC,NUMBER,3
2021,ER_PTD_FRHWTREC,NUMBER,4
2018,ER_PTD_FRHWTREC,HA_A,3695.05
2019,ER_PTD_FRHWTREC,HA_A,3800.39
2020,ER_PTD_FRHWTREC,HA_A,3800.39
2021,ER_PTD_FRHWTREC,HA_A,4121.08
