Year,SERIES,UNIT_MEASURE,SEX,Value
2009,SH_DTH_NCOM,DTHS_PER_1000000_POPY0T65,_T,150.7
2010,SH_DTH_NCOM,DTHS_PER_1000000_POPY0T65,_T,144.6
2011,SH_DTH_NCOM,DTHS_PER_1000000_POPY0T65,_T,180.2
2012,SH_DTH_NCOM,DTHS_PER_1000000_POPY0T65,_T,184.2
2013,SH_DTH_NCOM,DTHS_PER_1000000_POPY0T65,_T,189.1
2014,SH_DTH_NCOM,DTHS_PER_1000000_POPY0T65,_T,194.5
2015,SH_DTH_NCOM,DTHS_PER_1000000_POPY0T65,_T,184.6
2016,SH_DTH_NCOM,DTHS_PER_1000000_POPY0T65,_T,179.4
2017,SH_DTH_NCOM,DTHS_PER_1000000_POPY0T65,_T,177.2
2018,SH_DTH_NCOM,DTHS_PER_1000000_POPY0T65,_T,163.5
2019,SH_DTH_NCOM,DTHS_PER_1000000_POPY0T65,_T,159.3
2020,SH_DTH_NCOM,DTHS_PER_1000000_POPY0T65,_T,157.6
2021,SH_DTH_NCOM,DTHS_PER_1000000_POPY0T65,_T,147.9
2009,SH_DTH_NCOM,DTHS_PER_1000000_POPY0T65,M,201.1
2010,SH_DTH_NCOM,DTHS_PER_1000000_POPY0T65,M,191.4
2011,SH_DTH_NCOM,DTHS_PER_1000000_POPY0T65,M,236.2
2012,SH_DTH_NCOM,DTHS_PER_1000000_POPY0T65,M,247.2
2013,SH_DTH_NCOM,DTHS_PER_1000000_POPY0T65,M,246.9
2014,SH_DTH_NCOM,DTHS_PER_1000000_POPY0T65,M,255.0
2015,SH_DTH_NCOM,DTHS_PER_1000000_POPY0T65,M,229.5
2016,SH_DTH_NCOM,DTHS_PER_1000000_POPY0T65,M,233.1
2017,SH_DTH_NCOM,DTHS_PER_1000000_POPY0T65,M,225.8
2018,SH_DTH_NCOM,DTHS_PER_1000000_POPY0T65,M,216.8
2019,SH_DTH_NCOM,DTHS_PER_1000000_POPY0T65,M,203.6
2020,SH_DTH_NCOM,DTHS_PER_1000000_POPY0T65,M,207.9
2021,SH_DTH_NCOM,DTHS_PER_1000000_POPY0T65,M,194.4
2009,SH_DTH_NCOM,DTHS_PER_1000000_POPY0T65,F,102.5
2010,SH_DTH_NCOM,DTHS_PER_1000000_POPY0T65,F,99.8
2011,SH_DTH_NCOM,DTHS_PER_1000000_POPY0T65,F,123.4
2012,SH_DTH_NCOM,DTHS_PER_1000000_POPY0T65,F,120.4
2013,SH_DTH_NCOM,DTHS_PER_1000000_POPY0T65,F,130.5
2014,SH_DTH_NCOM,DTHS_PER_1000000_POPY0T65,F,133.2
2015,SH_DTH_NCOM,DTHS_PER_1000000_POPY0T65,F,139.1
2016,SH_DTH_NCOM,DTHS_PER_1000000_POPY0T65,F,124.9
2017,SH_DTH_NCOM,DTHS_PER_1000000_POPY0T65,F,127.7
2018,SH_DTH_NCOM,DTHS_PER_1000000_POPY0T65,F,109.3
2019,SH_DTH_NCOM,DTHS_PER_1000000_POPY0T65,F,114.2
2020,SH_DTH_NCOM,DTHS_PER_1000000_POPY0T65,F,105.8
2021,SH_DTH_NCOM,DTHS_PER_1000000_POPY0T65,F,99.6
