Year,SERIES,UNIT_MEASURE,Value
2009,DC_ODA_BDPE,CUR_LCU,27900
2010,DC_ODA_BDPE,CUR_LCU,16730
2011,DC_ODA_BDPE,CUR_LCU,24890
2012,DC_ODA_BDPE,CUR_LCU,38155
2013,DC_ODA_BDPE,CUR_LCU,16630
2014,DC_ODA_BDPE,CUR_LCU,8630
2015,DC_ODA_BDPE,CUR_LCU,8930
2016,DC_ODA_BDPE,CUR_LCU,1730
2017,DC_ODA_BDPE,CUR_LCU,830
2018,DC_ODA_BDPE,CUR_LCU,107015
2019,DC_ODA_BDPE,CUR_LCU,83584
2020,DC_ODA_BDPE,CUR_LCU,114740
2021,DC_ODA_BDPE,CUR_LCU,220980
