Year,SERIES,UNIT_MEASURE,SEX,AGE,COMPOSITE_BREAKDOWN,Value,,,,
2018,VC_HTF_DETV,NUMBER,F,_A,,0,,,,
2019,VC_HTF_DETV,NUMBER,F,_A,,0,,,,
2020,VC_HTF_DETV,NUMBER,F,_A,,0,,,,
2021,VC_HTF_DETV,NUMBER,F,_A,,0,,,,
2009,VC_HTF_DETV,NUMBER,F,_M,,0,,,,
2010,VC_HTF_DETV,NUMBER,F,_M,,0,,,,
2011,VC_HTF_DETV,NUMBER,F,_M,,0,,,,
2012,VC_HTF_DETV,NUMBER,F,_M,,0,,,,
2013,VC_HTF_DETV,NUMBER,F,_M,,0,,,,
2014,VC_HTF_DETV,NUMBER,F,_M,,0,,,,
2015,VC_HTF_DETV,NUMBER,F,_M,,0,,,,
2016,VC_HTF_DETV,NUMBER,F,_M,,0,,,,
2017,VC_HTF_DETV,NUMBER,F,_M,,1,,,,
2018,VC_HTF_DETV,NUMBER,F,_M,,0,,,,
2019,VC_HTF_DETV,NUMBER,F,_M,,1,,,,
2020,VC_HTF_DETV,NUMBER,F,_M,,1,,,,
2021,VC_HTF_DETV,NUMBER,F,_M,,0,,,,
2009,VC_HTF_DETV,NUMBER,_T,_T,VC_HTFET_01,0,,,,
2010,VC_HTF_DETV,NUMBER,_T,_T,VC_HTFET_01,0,,,,
2011,VC_HTF_DETV,NUMBER,_T,_T,VC_HTFET_01,1,,,,
2012,VC_HTF_DETV,NUMBER,_T,_T,VC_HTFET_01,2,,,,
2013,VC_HTF_DETV,NUMBER,_T,_T,VC_HTFET_01,0,,,,
2014,VC_HTF_DETV,NUMBER,_T,_T,VC_HTFET_01,0,,,,
2015,VC_HTF_DETV,NUMBER,_T,_T,VC_HTFET_01,1,,,,
2016,VC_HTF_DETV,NUMBER,_T,_T,VC_HTFET_01,0,,,,
2017,VC_HTF_DETV,NUMBER,_T,_T,VC_HTFET_01,1,,,,
2018,VC_HTF_DETV,NUMBER,_T,_T,VC_HTFET_01,0,,,,
2019,VC_HTF_DETV,NUMBER,_T,_T,VC_HTFET_01,1,,,,
2020,VC_HTF_DETV,NUMBER,_T,_T,VC_HTFET_01,0,,,,
2021,VC_HTF_DETV,NUMBER,_T,_T,VC_HTFET_01,0,,,,
2009,VC_HTF_DETV,NUMBER,_T,_T,VC_HTFET_02,0,,,,
2010,VC_HTF_DETV,NUMBER,_T,_T,VC_HTFET_02,0,,,,
2011,VC_HTF_DETV,NUMBER,_T,_T,VC_HTFET_02,0,,,,
2012,VC_HTF_DETV,NUMBER,_T,_T,VC_HTFET_02,0,,,,
2013,VC_HTF_DETV,NUMBER,_T,_T,VC_HTFET_02,0,,,,
2014,VC_HTF_DETV,NUMBER,_T,_T,VC_HTFET_02,0,,,,
2015,VC_HTF_DETV,NUMBER,_T,_T,VC_HTFET_02,0,,,,
2016,VC_HTF_DETV,NUMBER,_T,_T,VC_HTFET_02,0,,,,
2017,VC_HTF_DETV,NUMBER,_T,_T,VC_HTFET_02,0,,,,
2018,VC_HTF_DETV,NUMBER,_T,_T,VC_HTFET_02,0,,,,
2019,VC_HTF_DETV,NUMBER,_T,_T,VC_HTFET_02,0,,,,
2020,VC_HTF_DETV,NUMBER,_T,_T,VC_HTFET_02,1,,,,
2021,VC_HTF_DETV,NUMBER,_T,_T,VC_HTFET_02,0,,,,
2009,VC_HTF_DETV,NUMBER,_T,_T,UNK,0,,,,
2010,VC_HTF_DETV,NUMBER,_T,_T,UNK,0,,,,
2011,VC_HTF_DETV,NUMBER,_T,_T,UNK,0,,,,
2012,VC_HTF_DETV,NUMBER,_T,_T,UNK,0,,,,
2013,VC_HTF_DETV,NUMBER,_T,_T,UNK,0,,,,
2014,VC_HTF_DETV,NUMBER,_T,_T,UNK,0,,,,
2015,VC_HTF_DETV,NUMBER,_T,_T,UNK,0,,,,
2016,VC_HTF_DETV,NUMBER,_T,_T,UNK,1,,,,
2017,VC_HTF_DETV,NUMBER,_T,_T,UNK,0,,,,
2018,VC_HTF_DETV,NUMBER,_T,_T,UNK,0,,,,
2019,VC_HTF_DETV,NUMBER,_T,_T,UNK,0,,,,
2020,VC_HTF_DETV,NUMBER,_T,_T,UNK,0,,,,
2021,VC_HTF_DETV,NUMBER,_T,_T,UNK,0,,,,
2009,VC_HTF_DETVR,PER_100000_POP,,,,0.0,,,,
2010,VC_HTF_DETVR,PER_100000_POP,,,,0.0,,,,
