Year,SERIES,UNIT_MEASURE,SEX,COMPOSITE_BREAKDOWN,Value
2018,VC_VAW_NMARR12M,PT,F,VAW_PHYSIC,2
2018,VC_VAW_NMARR12M,PT,F,VAW_SEX,0
2018,VC_VAW_NMARRY15,PT,F,VAW_PHYSIC,7
2018,VC_VAW_NMARRY15,PT,F,VAW_SEX,2
