Year,Value,UNIT_MEASURE,SERIES
2009,0.3,Percent,Research and development expenditure as a proportion of GDP
2010,0.25,Percent,Research and development expenditure as a proportion of GDP
2011,0.3,Percent,Research and development expenditure as a proportion of GDP
2012,0.4,Percent,Research and development expenditure as a proportion of GDP
2013,0.56,Percent,Research and development expenditure as a proportion of GDP
2014,0.2,Percent,Research and development expenditure as a proportion of GDP
2015,0.19,Percent,Research and development expenditure as a proportion of GDP
2016,0.17,Percent,Research and development expenditure as a proportion of GDP
2017,0.17,Percent,Research and development expenditure as a proportion of GDP
2018,0.17,Percent,Research and development expenditure as a proportion of GDP
2019,0.16,Percent,Research and development expenditure as a proportion of GDP
2020,0.18,Percent,Research and development expenditure as a proportion of GDP
2021,0.2,Percent,Research and development expenditure as a proportion of GDP
