Year,Value,UNIT_MEASURE,SERIES
2009,0.0,"Per 100,000 live births",Maternal mortality ratio
2010,9.8,"Per 100,000 live births",Maternal mortality ratio
2011,10.5,"Per 100,000 live births",Maternal mortality ratio
2012,0.0,"Per 100,000 live births",Maternal mortality ratio
2013,0.0,"Per 100,000 live births",Maternal mortality ratio
2014,0.0,"Per 100,000 live births",Maternal mortality ratio
2015,10.7,"Per 100,000 live births",Maternal mortality ratio
2016,10.6,"Per 100,000 live births",Maternal mortality ratio
2017,0.0,"Per 100,000 live births",Maternal mortality ratio
2018,10.5,"Per 100,000 live births",Maternal mortality ratio
2019,0.0,"Per 100,000 live births",Maternal mortality ratio
2020,32.7,"Per 100,000 live births",Maternal mortality ratio
2021,0.0,"Per 100,000 live births",Maternal mortality ratio
2022,11.0,"Per 100,000 live births",Maternal mortality ratio
2023,0.0,"Per 100,000 live births",Maternal mortality ratio
