Year,Value,UNIT_MEASURE,SERIES
2004,199752.0,Number,Proportion of population living below the national poverty line
2007,182389.0,Number,Proportion of population living below the national poverty line
2011,152909.0,Number,Proportion of population living below the national poverty line
2015,126043.0,Number,Proportion of population living below the national poverty line
2004,15.8,Percent,Proportion of population living below the national poverty line
2007,15.6,Percent,Proportion of population living below the national poverty line
2011,14.4,Percent,Proportion of population living below the national poverty line
2015,12.8,Percent,Proportion of population living below the national poverty line
2004,63973.0,Number,Proportion of households living below the national poverty line
2007,64708.0,Number,Proportion of households living below the national poverty line
2011,53234.0,Number,Proportion of households living below the national poverty line
2015,49805.0,Number,Proportion of households living below the national poverty line
2004,16.1,Percent,Proportion of households living below the national poverty line
2007,17.3,Percent,Proportion of households living below the national poverty line
2011,14.8,Percent,Proportion of households living below the national poverty line
2015,13.9,Percent,Proportion of households living below the national poverty line
