Year,Value,UNIT_MEASURE,SERIES
2009,453000,in BAM,Value of suspicious transactions for money laundering and terrorist financing - banks of Republika Srpska
2010,728000,in BAM,Value of suspicious transactions for money laundering and terrorist financing - banks of Republika Srpska
2011,404000,in BAM,Value of suspicious transactions for money laundering and terrorist financing - banks of Republika Srpska
2012,2900000,in BAM,Value of suspicious transactions for money laundering and terrorist financing - banks of Republika Srpska
2013,1107058,in BAM,Value of suspicious transactions for money laundering and terrorist financing - banks of Republika Srpska
2014,2738514,in BAM,Value of suspicious transactions for money laundering and terrorist financing - banks of Republika Srpska
2015,2563708,in BAM,Value of suspicious transactions for money laundering and terrorist financing - banks of Republika Srpska
2016,78163647,in BAM,Value of suspicious transactions for money laundering and terrorist financing - banks of Republika Srpska
2017,5724857,in BAM,Value of suspicious transactions for money laundering and terrorist financing - banks of Republika Srpska
2018,175957160,in BAM,Value of suspicious transactions for money laundering and terrorist financing - banks of Republika Srpska
2019,9420753,in BAM,Value of suspicious transactions for money laundering and terrorist financing - banks of Republika Srpska
2020,8389057,in BAM,Value of suspicious transactions for money laundering and terrorist financing - banks of Republika Srpska
2021,11783151,in BAM,Value of suspicious transactions for money laundering and terrorist financing - banks of Republika Srpska
2009,332090,USD,Value of suspicious transactions for money laundering and terrorist financing - banks of Republika Srpska
2010,494309,USD,Value of suspicious transactions for money laundering and terrorist financing - banks of Republika Srpska
2011,267271,USD,Value of suspicious transactions for money laundering and terrorist financing - banks of Republika Srpska
2012,1954705,USD,Value of suspicious transactions for money laundering and terrorist financing - banks of Republika Srpska
2013,780159,USD,Value of suspicious transactions for money laundering and terrorist financing - banks of Republika Srpska
2014,1702619,USD,Value of suspicious transactions for money laundering and terrorist financing - banks of Republika Srpska
2015,1432183,USD,Value of suspicious transactions for money laundering and terrorist financing - banks of Republika Srpska
2016,42126518,USD,Value of suspicious transactions for money laundering and terrorist financing - banks of Republika Srpska
2017,3510438,USD,Value of suspicious transactions for money laundering and terrorist financing - banks of Republika Srpska
2018,103046443,USD,Value of suspicious transactions for money laundering and terrorist financing - banks of Republika Srpska
2019,5389465,USD,Value of suspicious transactions for money laundering and terrorist financing - banks of Republika Srpska
2020,5267636,USD,Value of suspicious transactions for money laundering and terrorist financing - banks of Republika Srpska
2021,6828315,USD,Value of suspicious transactions for money laundering and terrorist financing - banks of Republika Srpska
