Year,SERIES,UNIT_MEASURE,COMPOSITE_BREAKDOWN,Value
2009,EN_H2O_WQBODS,Grams per cubic meter (g/m3),Una River,1.86
2010,EN_H2O_WQBODS,Grams per cubic meter (g/m3),Una River,1.88
2011,EN_H2O_WQBODS,Grams per cubic meter (g/m3),Una River,2.1
2012,EN_H2O_WQBODS,Grams per cubic meter (g/m3),Una River,2.37
2013,EN_H2O_WQBODS,Grams per cubic meter (g/m3),Una River,2.11
2014,EN_H2O_WQBODS,Grams per cubic meter (g/m3),Una River,1.63
2015,EN_H2O_WQBODS,Grams per cubic meter (g/m3),Una River,2.94
2016,EN_H2O_WQBODS,Grams per cubic meter (g/m3),Una River,1.87
2017,EN_H2O_WQBODS,Grams per cubic meter (g/m3),Una River,1.16
2018,EN_H2O_WQBODS,Grams per cubic meter (g/m3),Una River,
2019,EN_H2O_WQBODS,Grams per cubic meter (g/m3),Una River,1.62
2020,EN_H2O_WQBODS,Grams per cubic meter (g/m3),Una River,4.0
2021,EN_H2O_WQBODS,Grams per cubic meter (g/m3),Una River,1.31
2009,EN_H2O_WQBODS,Grams per cubic meter (g/m3),Vrbas River,1.8
2010,EN_H2O_WQBODS,Grams per cubic meter (g/m3),Vrbas River,2.19
2011,EN_H2O_WQBODS,Grams per cubic meter (g/m3),Vrbas River,2.25
2012,EN_H2O_WQBODS,Grams per cubic meter (g/m3),Vrbas River,1.87
2013,EN_H2O_WQBODS,Grams per cubic meter (g/m3),Vrbas River,2.53
2014,EN_H2O_WQBODS,Grams per cubic meter (g/m3),Vrbas River,2.08
2015,EN_H2O_WQBODS,Grams per cubic meter (g/m3),Vrbas River,2.64
2016,EN_H2O_WQBODS,Grams per cubic meter (g/m3),Vrbas River,1.74
2017,EN_H2O_WQBODS,Grams per cubic meter (g/m3),Vrbas River,1.64
2018,EN_H2O_WQBODS,Grams per cubic meter (g/m3),Vrbas River,
2019,EN_H2O_WQBODS,Grams per cubic meter (g/m3),Vrbas River,1.96
2020,EN_H2O_WQBODS,Grams per cubic meter (g/m3),Vrbas River,2.17
2021,EN_H2O_WQBODS,Grams per cubic meter (g/m3),Vrbas River,2.44
2009,EN_H2O_WQBODS,Grams per cubic meter (g/m3),Bosna River,3.26
2010,EN_H2O_WQBODS,Grams per cubic meter (g/m3),Bosna River,2.76
2011,EN_H2O_WQBODS,Grams per cubic meter (g/m3),Bosna River,3.73
2012,EN_H2O_WQBODS,Grams per cubic meter (g/m3),Bosna River,2.2
2013,EN_H2O_WQBODS,Grams per cubic meter (g/m3),Bosna River,2.24
2014,EN_H2O_WQBODS,Grams per cubic meter (g/m3),Bosna River,2.34
2015,EN_H2O_WQBODS,Grams per cubic meter (g/m3),Bosna River,5.11
2016,EN_H2O_WQBODS,Grams per cubic meter (g/m3),Bosna River,2.55
