Year,SERIES,UNIT_MEASURE,Sex,COMPOSITE_BREAKDOWN,Value
2018,VC_VAW_NMARR12M,Percent,Female,VAW_PHYSIC,2
2018,VC_VAW_NMARR12M,Percent,Female,VAW_SEX,0
2018,VC_VAW_NMARRY15,Percent,Female,VAW_PHYSIC,7
2018,VC_VAW_NMARRY15,Percent,Female,VAW_SEX,2
