Year,SERIES,UNIT_MEASURE,URBANISATION,Value
2011,EG_ACS_ELECHH,PT,_T,99.9
2011,EG_ACS_ELECHH,PT,U,99.9
2011,EG_ACS_ELECHH,PT,O,99.9
2015,EG_ACS_ELECHH,PT,_T,99.5
2015,EG_ACS_ELECHH,PT,U,99.7
2015,EG_ACS_ELECHH,PT,O,99.4
