Year,SERIES,UNIT_MEASURE,Value
2009,SH_TBS_INCID,PER_100000_POP,25.9
2010,SH_TBS_INCID,PER_100000_POP,20.1
2011,SH_TBS_INCID,PER_100000_POP,29.2
2012,SH_TBS_INCID,PER_100000_POP,29.4
2013,SH_TBS_INCID,PER_100000_POP,26.6
2014,SH_TBS_INCID,PER_100000_POP,19.8
2015,SH_TBS_INCID,PER_100000_POP,13.1
2016,SH_TBS_INCID,PER_100000_POP,13.1
2017,SH_TBS_INCID,PER_100000_POP,15.2
2018,SH_TBS_INCID,PER_100000_POP,16.7
2019,SH_TBS_INCID,PER_100000_POP,14.1
2020,SH_TBS_INCID,PER_100000_POP,6.8
2021,SH_TBS_INCID,PER_100000_POP,2.6
