Year,SERIES,UNIT_MEASURE,Value
2009,SH_HAP_HBSAGINC,PER_100000_POP,4.7
2010,SH_HAP_HBSAGINC,PER_100000_POP,2.7
2011,SH_HAP_HBSAGINC,PER_100000_POP,3.9
2012,SH_HAP_HBSAGINC,PER_100000_POP,4.5
2013,SH_HAP_HBSAGINC,PER_100000_POP,5.6
2014,SH_HAP_HBSAGINC,PER_100000_POP,3.9
2015,SH_HAP_HBSAGINC,PER_100000_POP,2.3
2016,SH_HAP_HBSAGINC,PER_100000_POP,3.6
2017,SH_HAP_HBSAGINC,PER_100000_POP,4.0
2018,SH_HAP_HBSAGINC,PER_100000_POP,5.2
2019,SH_HAP_HBSAGINC,PER_100000_POP,4.5
2020,SH_HAP_HBSAGINC,PER_100000_POP,1.9
2021,SH_HAP_HBSAGINC,PER_100000_POP,1.5
