Year,SERIES,UNIT_MEASURE,AGE,SEX,Value
2010,SH_PRV_SMOKA,PT,>18Y,_T,28.7
2012,SH_PRV_SMOKA,PT,Y15T49,M,34.3
2012,SH_PRV_SMOKA,PT,Y15T49,F,26.3
2015,SH_PRV_SMOKA,PT,>15Y,_T,24.6
2018,SH_PRV_SMOKC,PT,Y13T15,_T,11.8
