Year,SERIES,UNIT_MEASURE,SEX,AGE,Value
2011.0,SI_POV_HHDS,PT,M,_T,13.5
2011.0,SI_POV_HHDS,PT,F,_T,18.7
2015.0,SI_POV_HHDS,PT,M,_T,12.1
2015.0,SI_POV_HHDS,PT,F,_T,18.6
2011.0,SI_POV_HHDA,PT,_T,Y0T35,0.0
2011.0,SI_POV_HHDA,PT,_T,Y36T45,10.8
2011.0,SI_POV_HHDA,PT,_T,Y46T55,15.6
2011.0,SI_POV_HHDA,PT,_T,Y56T65,11.7
2011.0,SI_POV_HHDA,PT,_T,Y_GE65,19.5
2015.0,SI_POV_HHDA,PT,_T,Y0T35,0.0
2015.0,SI_POV_HHDA,PT,_T,Y36T45,12.7
2015.0,SI_POV_HHDA,PT,_T,Y46T55,10.5
2015.0,SI_POV_HHDA,PT,_T,Y56T65,11.7
2015.0,SI_POV_HHDA,PT,_T,Y_GE65,19.2
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
