Year,SERIES,UNIT_MEASURE,ACTIVITY,Value
2017,NV_IND_SSIS,PT,IND_SEC,8.7
2018,NV_IND_SSIS,PT,IND_SEC,8.5
2019,NV_IND_SSIS,PT,IND_SEC,10.3
2020,NV_IND_SSIS,PT,IND_SEC,10.3
2021,NV_IND_SSIS,PT,IND_SEC,8.9
