Year,SERIES,UNIT_MEASURE,Value
2018,FI_FSI_FSKRTC,PT,16.21
2019,FI_FSI_FSKRTC,PT,16.87
2020,FI_FSI_FSKRTC,PT,17.52
2021,FI_FSI_FSKRTC,PT,18.31
2018,FI_FSI_FSRCER,PT,17.66
2019,FI_FSI_FSRCER,PT,18.31
2020,FI_FSI_FSRCER,PT,19.33
2021,FI_FSI_FSRCER,PT,19.15
2018,FI_FSI_FSKA,PT,12.44
2019,FI_FSI_FSKA,PT,12.58
2020,FI_FSI_FSKA,PT,12.39
2021,FI_FSI_FSKA,PT,11.69
2018,FI_FSI_FSNPA,PT,7.17
2019,FI_FSI_FSNPA,PT,5.04
2020,FI_FSI_FSNPA,PT,3.62
2021,FI_FSI_FSNPA,PT,2.54
2018,FI_FSI_FSNPALC,PT,19.1
2019,FI_FSI_FSNPALC,PT,10.66
2020,FI_FSI_FSNPALC,PT,6.18
2021,FI_FSI_FSNPALC,PT,4.56
2018,FI_FSI_FSKNL,PT,18.34
2019,FI_FSI_FSKNL,PT,9.42
2020,FI_FSI_FSKNL,PT,5.99
2021,FI_FSI_FSKNL,PT,4.34
2018,FI_FSI_FSANL,PT,9.54
2019,FI_FSI_FSANL,PT,6.95
2020,FI_FSI_FSANL,PT,5.23
2021,FI_FSI_FSANL,PT,3.98
2018,FI_FSI_FSERA,PT,1.13
2019,FI_FSI_FSERA,PT,1.35
2020,FI_FSI_FSERA,PT,0.69
2021,FI_FSI_FSERA,PT,1.38
2018,FI_FSI_FSERSC,PT,8.79
2019,FI_FSI_FSERSC,PT,10.75
2020,FI_FSI_FSERSC,PT,5.5
2021,FI_FSI_FSERSC,PT,11.25
2018,FI_FSI_FSINTIRI,PT,60.65
2019,FI_FSI_FSINTIRI,PT,58.07
2020,FI_FSI_FSINTIRI,PT,58.87
2021,FI_FSI_FSINTIRI,PT,56.84
2018,FI_FSI_FSINOIRE,PT,78.24
2019,FI_FSI_FSINOIRE,PT,73.22
2020,FI_FSI_FSINOIRE,PT,85.81
2021,FI_FSI_FSINOIRE,PT,71.68
2018,FI_FSI_FSLSTA,PT,26.7
2019,FI_FSI_FSLSTA,PT,22.97
2020,FI_FSI_FSLSTA,PT,22.87
2021,FI_FSI_FSLSTA,PT,28.72
2018,FI_FSI_FSLS,PT,39.96
2019,FI_FSI_FSLS,PT,35.03
2020,FI_FSI_FSLS,PT,33.75
2021,FI_FSI_FSLS,PT,40.73
2018,FI_FSI_FSLDC,PT,105.98
2019,FI_FSI_FSLDC,PT,103.1
2020,FI_FSI_FSLDC,PT,106.81
2021,FI_FSI_FSLDC,PT,121.63
2018,FI_FSI_FSSTL,PT,76.4
2019,FI_FSI_FSSTL,PT,75.08
2020,FI_FSI_FSSTL,PT,77.44
2021,FI_FSI_FSSTL,PT,79.97
2018,FI_FSI_FSSFCLN,PT,69.01
2019,FI_FSI_FSSFCLN,PT,63.94
2020,FI_FSI_FSSFCLN,PT,62.38
2021,FI_FSI_FSSFCLN,PT,58.74
2018,FI_FSI_FSFCLI,PT,61.61
2019,FI_FSI_FSFCLI,PT,58.95
2020,FI_FSI_FSFCLI,PT,59.1
2021,FI_FSI_FSFCLI,PT,54.46
2018,FI_FSI_FSSNO,PT,3.06
2019,FI_FSI_FSSNO,PT,9.36
2020,FI_FSI_FSSNO,PT,6.38
2021,FI_FSI_FSSNO,PT,2.38
