Year,SERIES,UNIT_MEASURE,COMPOSITE_BREAKDOWN,Value
2009,EN_H2O_WQBODS,GPERM3,UNA,1.86
2010,EN_H2O_WQBODS,GPERM3,UNA,1.88
2011,EN_H2O_WQBODS,GPERM3,UNA,2.1
2012,EN_H2O_WQBODS,GPERM3,UNA,2.37
2013,EN_H2O_WQBODS,GPERM3,UNA,2.11
2014,EN_H2O_WQBODS,GPERM3,UNA,1.63
2015,EN_H2O_WQBODS,GPERM3,UNA,2.94
2016,EN_H2O_WQBODS,GPERM3,UNA,1.87
2017,EN_H2O_WQBODS,GPERM3,UNA,1.16
2018,EN_H2O_WQBODS,GPERM3,UNA,
2019,EN_H2O_WQBODS,GPERM3,UNA,1.62
2020,EN_H2O_WQBODS,GPERM3,UNA,4.0
2021,EN_H2O_WQBODS,GPERM3,UNA,1.31
2009,EN_H2O_WQBODS,GPERM3,VRBAS,1.8
2010,EN_H2O_WQBODS,GPERM3,VRBAS,2.19
2011,EN_H2O_WQBODS,GPERM3,VRBAS,2.25
2012,EN_H2O_WQBODS,GPERM3,VRBAS,1.87
2013,EN_H2O_WQBODS,GPERM3,VRBAS,2.53
2014,EN_H2O_WQBODS,GPERM3,VRBAS,2.08
2015,EN_H2O_WQBODS,GPERM3,VRBAS,2.64
2016,EN_H2O_WQBODS,GPERM3,VRBAS,1.74
2017,EN_H2O_WQBODS,GPERM3,VRBAS,1.64
2018,EN_H2O_WQBODS,GPERM3,VRBAS,
2019,EN_H2O_WQBODS,GPERM3,VRBAS,1.96
2020,EN_H2O_WQBODS,GPERM3,VRBAS,2.17
2021,EN_H2O_WQBODS,GPERM3,VRBAS,2.44
2009,EN_H2O_WQBODS,GPERM3,BOSNA,3.26
2010,EN_H2O_WQBODS,GPERM3,BOSNA,2.76
2011,EN_H2O_WQBODS,GPERM3,BOSNA,3.73
2012,EN_H2O_WQBODS,GPERM3,BOSNA,2.2
2013,EN_H2O_WQBODS,GPERM3,BOSNA,2.24
2014,EN_H2O_WQBODS,GPERM3,BOSNA,2.34
2015,EN_H2O_WQBODS,GPERM3,BOSNA,5.11
2016,EN_H2O_WQBODS,GPERM3,BOSNA,2.55
2017,EN_H2O_WQBODS,GPERM3,BOSNA,3.8
2018,EN_H2O_WQBODS,GPERM3,BOSNA,
2019,EN_H2O_WQBODS,GPERM3,BOSNA,3.01
2020,EN_H2O_WQBODS,GPERM3,BOSNA,3.23
2021,EN_H2O_WQBODS,GPERM3,BOSNA,3.54
2009,EN_H2O_WQBODS,GPERM3,DRINA,1.99
2010,EN_H2O_WQBODS,GPERM3,DRINA,1.63
2011,EN_H2O_WQBODS,GPERM3,DRINA,1.7
2012,EN_H2O_WQBODS,GPERM3,DRINA,1.3
2013,EN_H2O_WQBODS,GPERM3,DRINA,1.94
2014,EN_H2O_WQBODS,GPERM3,DRINA,1.6
2015,EN_H2O_WQBODS,GPERM3,DRINA,2.89
2016,EN_H2O_WQBODS,GPERM3,DRINA,1.4
2017,EN_H2O_WQBODS,GPERM3,DRINA,1.48
2018,EN_H2O_WQBODS,GPERM3,DRINA,
2019,EN_H2O_WQBODS,GPERM3,DRINA,1.41
2020,EN_H2O_WQBODS,GPERM3,DRINA,2.42
2021,EN_H2O_WQBODS,GPERM3,DRINA,1.95
2009,EN_H2O_WQBODS,GPERM3,SAVA,2.16
2010,EN_H2O_WQBODS,GPERM3,SAVA,1.99
2011,EN_H2O_WQBODS,GPERM3,SAVA,1.99
2012,EN_H2O_WQBODS,GPERM3,SAVA,1.63
2013,EN_H2O_WQBODS,GPERM3,SAVA,2.37
2014,EN_H2O_WQBODS,GPERM3,SAVA,1.94
2015,EN_H2O_WQBODS,GPERM3,SAVA,2.75
2016,EN_H2O_WQBODS,GPERM3,SAVA,1.47
2017,EN_H2O_WQBODS,GPERM3,SAVA,1.37
2018,EN_H2O_WQBODS,GPERM3,SAVA,
2019,EN_H2O_WQBODS,GPERM3,SAVA,2.76
2020,EN_H2O_WQBODS,GPERM3,SAVA,2.4
2021,EN_H2O_WQBODS,GPERM3,SAVA,2.05
2009,EN_H2O_WQBODS,GPERM3,UKRINA,3.49
2010,EN_H2O_WQBODS,GPERM3,UKRINA,1.2
2011,EN_H2O_WQBODS,GPERM3,UKRINA,0.91
2012,EN_H2O_WQBODS,GPERM3,UKRINA,2.97
2013,EN_H2O_WQBODS,GPERM3,UKRINA,2.75
2014,EN_H2O_WQBODS,GPERM3,UKRINA,12.67
2015,EN_H2O_WQBODS,GPERM3,UKRINA,4.96
2016,EN_H2O_WQBODS,GPERM3,UKRINA,2.36
2017,EN_H2O_WQBODS,GPERM3,UKRINA,0.005
2018,EN_H2O_WQBODS,GPERM3,UKRINA,
2019,EN_H2O_WQBODS,GPERM3,UKRINA,2.88
2020,EN_H2O_WQBODS,GPERM3,UKRINA,2.25
2021,EN_H2O_WQBODS,GPERM3,UKRINA,2.49
2009,EN_H2O_WQBODT,GPERM3,TREBISNJICA,1.93
2010,EN_H2O_WQBODT,GPERM3,TREBISNJICA,1.52
2011,EN_H2O_WQBODT,GPERM3,TREBISNJICA,1.73
2012,EN_H2O_WQBODT,GPERM3,TREBISNJICA,
2013,EN_H2O_WQBODT,GPERM3,TREBISNJICA,1.56
2014,EN_H2O_WQBODT,GPERM3,TREBISNJICA,1.94
2015,EN_H2O_WQBODT,GPERM3,TREBISNJICA,2.99
2016,EN_H2O_WQBODT,GPERM3,TREBISNJICA,1.32
2017,EN_H2O_WQBODT,GPERM3,TREBISNJICA,1.76
2018,EN_H2O_WQBODT,GPERM3,TREBISNJICA,
2019,EN_H2O_WQBODT,GPERM3,TREBISNJICA,1.51
2020,EN_H2O_WQBODT,GPERM3,TREBISNJICA,5.15
2021,EN_H2O_WQBODT,GPERM3,TREBISNJICA,2.1
2009,EN_H2O_WQBODT,GPERM3,NERETVA,
2010,EN_H2O_WQBODT,GPERM3,NERETVA,
2011,EN_H2O_WQBODT,GPERM3,NERETVA,1.13
2012,EN_H2O_WQBODT,GPERM3,NERETVA,2.49
2013,EN_H2O_WQBODT,GPERM3,NERETVA,1.59
2014,EN_H2O_WQBODT,GPERM3,NERETVA,1.61
2015,EN_H2O_WQBODT,GPERM3,NERETVA,2.97
2016,EN_H2O_WQBODT,GPERM3,NERETVA,0.79
2017,EN_H2O_WQBODT,GPERM3,NERETVA,1.08
2018,EN_H2O_WQBODT,GPERM3,NERETVA,
2019,EN_H2O_WQBODT,GPERM3,NERETVA,1.91
2020,EN_H2O_WQBODT,GPERM3,NERETVA,2.25
2021,EN_H2O_WQBODT,GPERM3,NERETVA,2.78
2009,EN_H2O_WQPS,GPERM3,UNA,0.029
2010,EN_H2O_WQPS,GPERM3,UNA,0.059
2011,EN_H2O_WQPS,GPERM3,UNA,0.031
2012,EN_H2O_WQPS,GPERM3,UNA,0.038
2013,EN_H2O_WQPS,GPERM3,UNA,0.024
2014,EN_H2O_WQPS,GPERM3,UNA,0.043
