Year,SERIES,UNIT_MEASURE,COMPOSITE_BREAKDOWN,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Value
2021,IS_RDP_PFVOL,P_KM_MIL,_T,,,,,,,,,,,,,,,,,,,239
2009,IS_RDP_PFVOL,P_KM_MIL,MOT_RAI,,,,,,,,,,,,,,,,,,,27
2010,IS_RDP_PFVOL,P_KM_MIL,MOT_RAI,,,,,,,,,,,,,,,,,,,25
2011,IS_RDP_PFVOL,P_KM_MIL,MOT_RAI,,,,,,,,,,,,,,,,,,,22
2012,IS_RDP_PFVOL,P_KM_MIL,MOT_RAI,,,,,,,,,,,,,,,,,,,23
2013,IS_RDP_PFVOL,P_KM_MIL,MOT_RAI,,,,,,,,,,,,,,,,,,,15
2014,IS_RDP_PFVOL,P_KM_MIL,MOT_RAI,,,,,,,,,,,,,,,,,,,12
2015,IS_RDP_PFVOL,P_KM_MIL,MOT_RAI,,,,,,,,,,,,,,,,,,,13
2016,IS_RDP_PFVOL,P_KM_MIL,MOT_RAI,,,,,,,,,,,,,,,,,,,11
2017,IS_RDP_PFVOL,P_KM_MIL,MOT_RAI,,,,,,,,,,,,,,,,,,,7
2018,IS_RDP_PFVOL,P_KM_MIL,MOT_RAI,,,,,,,,,,,,,,,,,,,9
2019,IS_RDP_PFVOL,P_KM_MIL,MOT_RAI,,,,,,,,,,,,,,,,,,,15
2020,IS_RDP_PFVOL,P_KM_MIL,MOT_RAI,,,,,,,,,,,,,,,,,,,4
2021,IS_RDP_PFVOL,P_KM_MIL,MOT_RAI,,,,,,,,,,,,,,,,,,,3
2009,IS_RDP_PFVOL,P_KM_MIL,MOT_ROA,,,,,,,,,,,,,,,,,,,450
2010,IS_RDP_PFVOL,P_KM_MIL,MOT_ROA,,,,,,,,,,,,,,,,,,,449
2011,IS_RDP_PFVOL,P_KM_MIL,MOT_ROA,,,,,,,,,,,,,,,,,,,458
2012,IS_RDP_PFVOL,P_KM_MIL,MOT_ROA,,,,,,,,,,,,,,,,,,,563
